"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者申請者名","営業者役職名","営業者代表者名","営業者都道府県名称","営業者住所１","営業者住所２","許可番号","許可日","旅館業の種別"
"旅館業","ＦＬＡＴ　Ｌ・ＭⅡ　２０４","761-0321","高松市前田西町８５１−６",,,"大東建託株式会社","代表取締役","小林　克満","東京都","港区港南二丁目１６番１号",,"第40198号","R04.09.02","簡易宿所"
"旅館業","コトリ　コワーキング＆ホステル高松","760-0058","高松市東田町字樋󠄀の上１−１３",,"087-802-1490","株式会社コトバス・コミュニケーションズ","代表取締役","楠木　泰二朗","香川県","高松市朝日町五丁目４番１８号",,"第40199号","R04.09.15","簡易宿所"
"旅館業","民宿　ＳＥＴＯＵＣＨＩ","760-0061","高松市築地町１６−７",,,"合同会社亜細亜商事","代表社員","張　棟","香川県","高松市本町３−１０",,"第40200号","R04.10.20","簡易宿所"
"旅館業","五風十雨宿泊棟","761-0445","高松市西植田町３１８６",,"087-849-0510","株式会社ｓｏｕｓｏｕ","代表取締役","村尾　晃德","香川県","高松市番町３丁目１０−５",,"第40201号","R04.10.31","簡易宿所"
"旅館業","癒し宿","761-1612","高松市塩江町安原上東１−６","７０３",,"𠮷田　未知子",,,,,,"第40202号","R04.11.07","簡易宿所"
"旅館業","ＫＡＮＥＭＩＴＳＵ　ＣＡＰＩＴＡＬ　ＨＯＴＥＬ","760-0008","高松市中野町２３−１",,"087-831-3330","ＫＡＮＥＭＩＴＳＵ　ＣＡＰＩＴＡＬ株式会社","代表取締役","市川　智久","香川県","高松市中野町２３番１号",,"第40205号","R04.11.15","旅館・ホテル"
"旅館業","ゲストハウスｓｉｍａｓｉｍａ古馬場","760-0045","高松市古馬場町５−９","春日河ビル４Ｆ",,"森　亮介",,,,,,"第40203号","R04.11.15","簡易宿所"
"旅館業","ＳＥＴＯ　ＣＬＡＳ　ＡＪＩ　ＴＨＥ　ＳＥＡＳＩＤＥ　ＨＩＬＬＳ　ＲＥＳＯＲＴ","761-0130","高松市庵治町字高砂４４６４−２",,"087-802-1241","株式会社イーグルハウス興業","代表取締役","松岡　敬三","香川県","高松市瓦町二丁目２番地８","５階","第40204号","R04.11.15","簡易宿所"
"旅館業","髙柳旅館","761-0121","高松市牟礼町牟礼３１３７−１",,"087-845-1516","髙柳株式会社","代表取締役","髙橋　愼","香川県","高松市牟礼町牟礼３１３７番地１４",,"第40206号","R04.11.25","旅館・ホテル"
"旅館業","玉藻","760-0032","高松市本町３−１０",,,"合同会社亜細亜商事","代表社員","張　棟","香川県","高松市本町３−１０",,"第40207号","R04.12.12","簡易宿所"
"旅館業","鍬と本","760-0091","高松市男木町１４２",,,"有限会社ケノヒ","代表取締役","福井　大和","大阪府","大阪市淀川区十三東一丁目１７番１３−４０３号",,"第40210号","R04.12.23","簡易宿所"
"旅館業","瀬戸風月　北棟","761-8062","高松市室新町１０７７−１",,,"ｉ−Ｌｉｎｋホールディングス株式会社","代表取締役","岸本　康彦","香川県","高松市栗林町一丁目１２番２４号",,"第40209号","R04.12.23","簡易宿所"
"旅館業","瀬戸風月　南棟","761-8062","高松市室新町１０７７−１",,,"ｉ−Ｌｉｎｋホールディングス株式会社","代表取締役","岸本　康彦","香川県","高松市栗林町一丁目１２番２４号",,"第40208号","R04.12.23","簡易宿所"
"旅館業","ｖｉｌｌａ　ＣｏＣｏ","760-0011","高松市浜ノ町４３−１７",,,"横井　智",,,,,,"第40211号","R05.01.19","簡易宿所"
"旅館業","天然露天温泉　Ｃｈｉｚｕ","761-1612","高松市塩江町安原上東２５８−３",,"0875-89-1774","株式会社Ｃｈｉｚｕ","代表取締役","田尾　英明","香川県","三豊市詫間町松崎７０５番地２",,"第40212号","R05.01.27","簡易宿所"
"旅館業","田町ハウス","760-0053","高松市田町１３−１","２Ｆ",,"合同会社紹興酒家","代表社員","林　海","香川県","高松市井口町4番地１",,"第40213号","R05.02.14","簡易宿所"
"旅館業","ミラーグリ　Ｙａｄｏ","760-0062","高松市塩上町１１−１２",,"087-813-0696","福井　真佐子",,,,,,"第40214号","R05.03.08","簡易宿所"
"旅館業","雀　ＳｕＺｕｍｅ","760-0018","高松市天神前４−２","天神前太田ビル",,"太田　江美",,,,,,"第40215号","R05.03.08","簡易宿所"
"旅館業","ＣＡＳＡ　ＯＴＴＡＶＡ","760-0040","高松市片原町１０−１５",,"087-822-8538","ＴＦＭリアルアセット合同会社","代表社員","市田　史子","東京都","港区白金三丁目１番１３号","日恵ビル２階","第40216号","R05.03.17","簡易宿所"
"旅館業","悠・仏生山","761-8078","高松市仏生山町甲２５１４",,,"有限会社八番館","代表取締役","市田　博","香川県","高松市片原町１０番１５号",,"第40217号","R05.03.29","簡易宿所"
"旅館業","かりんのお宿","761-1612","高松市塩江町安原上東２５８６−３３",,,"大原　和枝",,,,,,"第40219号","R05.03.29","簡易宿所"
"旅館業","お宿和み","761-1612","高松市塩江町安原上東２５８６−２５",,,"大原　和枝",,,,,,"第40220号","R05.03.29","簡易宿所"
"旅館業","桧の家","761-1614","高松市塩江町上西乙４２４−７",,,"藤川　孝三",,,,,,"第40218号","R05.03.29","簡易宿所"
"旅館業","貸別荘　ｃｌａｓｓｙ　ほたるの里","761-1612","高松市塩江町安原上東２５８６−４４",,"06-6751-8888","平紙　悦子",,,,,,"第40221号","R05.03.29","簡易宿所"
"旅館業","Ｈａｐｐｙ−ｈｏｕｓｅ","760-0032","高松市本町９−３","白井ビル",,"韓　日",,,,,,"第40222号","R05.04.07","簡易宿所"
"旅館業","禅の宿","761-1613","高松市塩江町上西甲２８９−４",,,"株式会社プラスアルファ","代表取締役","神﨑　隆史","香川県","高松市国分寺町福家甲２２９８番地６",,"第40223号","R05.06.12","簡易宿所"
"旅館業","ゲストハウス　おとなりさん（ＯＴＯＮＡＲＩＳＡＮ）","761-0121","高松市牟礼町牟礼２６５３−１１",,,"大森　由加里",,,,,,"第40224号","R05.06.26","簡易宿所"
"旅館業","ホテル　ニュー月光園","760-0021","高松市西の丸町１２番９",,"087-822-0953","プレミアムパートナーズ株式会社","代表取締役","松本　康弘","香川県","高松市木太町２４６１番地",,"第40225号","R05.07.05","旅館・ホテル"
"旅館業","龍潜荘　別館　金波","760-0092","高松市女木町４９６−２",,,"濵　慶子",,,,,,"第40227号","R05.07.20","簡易宿所"
"旅館業","浜町小院　別館","760-0011","高松市浜ノ町１７−１１",,,"徐　楓",,,,,,"第40229号","R05.08.03","簡易宿所"
"旅館業","ＶＩＬＬＡ　ＡＳＡＫＵＲＡ　ＣＥＮＴＲＡＬ　ＰＡＲＫ","760-0050","高松市亀井町３−８","ＡＰＯＩＮＴビル４階５階",,"朝倉　博美",,,,,,"第40228号","R05.08.03","簡易宿所"
"旅館業","紅葉屋","761-1613","高松市塩江町上西甲字焼堂３５番地２",,,"藤澤　孝司",,,,,,"第40230号","R05.08.10","簡易宿所"
"旅館業","ＯＫＡＥＲＩ築地町","760-0061","高松市築地町１１−２１",,,"株式会社Ａｓａｈｉ商事","代表取締役","宮武　嘉美","香川県","高松市大工町８番地１０",,"第40231号","R05.08.10","簡易宿所"
"旅館業","Ｔｈｅ　Ｓｅａ","761-0130","高松市庵治町笹尾５２９３番地",,,"児玉　陽平",,,,,,"第40233号","R05.08.15","簡易宿所"
"旅館業","ＧＡＲＤＥＮＩＡ","761-0130","高松市庵治町鎌野西５１６２−４",,,"有限会社ＲＩＴＺ","代表取締役","谷本　由紀","香川県","高松市庵治町４３９６番地2",,"第40232号","R05.08.15","簡易宿所"
"旅館業","小川邸","760-0052","高松市瓦町２丁目８−３４",,,"神山　龍一",,,,,,"第40234号","R05.09.01","簡易宿所"
"旅館業","ＨＡＲＭＯＮＩＴＹ　ＳＰＡ","761-0130","高松市庵治町５５２７−２２",,"03-6875-3754","株式会社ハーモニティ","代表取締役","藤井　和美","東京都","渋谷区神宮前六丁目２３番４号","桑野ビル２階","第40235号","R05.09.26","簡易宿所"
"旅館業","民泊ホタル","761-1612","高松市塩江町安原上東２５８６−２８",,,"大原　和枝",,,,,,"第40236号","R05.09.26","簡易宿所"
"旅館業","田面屋末広","760-0060","高松市末広町４−１５",,,"田面　敏郎",,,,,,"第40237号","R05.10.24","簡易宿所"
"旅館業","お宿Ｇａｎ・末広","760-0060","高松市末広町１−１１",,,"泉川　美幸",,,,,,"第40238号","R05.10.24","簡易宿所"
"旅館業","お宿Ｇａｎ・松福","760-0067","高松市松福町２−１１−２０",,,"泉川　美幸",,,,,,"第40239号","R05.10.24","簡易宿所"
"旅館業","瀬戸内サウナホテル　月","760-0007","高松市中央町１７−２６",,"087-880-0155","株式会社グランペール","代表取締役","西尾　直樹","香川県","高松市林町７９３番地１１",,"第40240号","R05.11.15","旅館・ホテル"
"旅館業","ピスタチオ","761-0104","高松市高松町２４８７−１",,,"藤澤　知代",,,,,,"第40241号","R05.11.17","簡易宿所"
"旅館業","りつりん０","760-0008","高松市中野町１８−１２",,,"長町　敏明",,,,,,"第40242号","R05.12.21","簡易宿所"
"旅館業","ｋｏｉ鯉（ｍｉｎｉ）","760-0018","高松市天神前４−２−４０１",,,"太田　江美",,,,,,"第40243号","R06.01.23","簡易宿所"
"旅館業","「いにしによる」","761-1614","高松市塩江町上西乙４４９−２",,,"一般社団法人トピカ","代表理事","立川　淳","香川県","高松市塩江町上西乙４６１",,"第40244号","R06.02.05","簡易宿所"
"旅館業","巡り宿　香西本町","761-8012","高松市香西本町７５５−４６",,"087-813-1080","株式会社プラザセレクトワークス","代表取締役","三谷　浩之","香川県","高松市木太町１９１３番地１０",,"第40245号","R06.02.08","簡易宿所"
"旅館業","ホテル吉泊","760-0054","高松市常磐町２丁目６−３６",,"087-811-9001","一番街有限会社","取締役","松本　康弘","香川県","高松市常磐町二丁目５番地３０",,"第40246号","R06.02.14","旅館・ホテル"
"旅館業","Ｈｏｓｔｅｌ　ＪＡＱ　ｔａｋａｍａｔｓｕ","760-0008","高松市中野町２８−１８",,"087-813-4075","株式会社ＷＩＲＥ　ＣＲＯＳＳ","代表取締役","持田　直宏","徳島県","徳島市東船場町一丁目１３番地",,"第40247号","R06.02.20","簡易宿所"
"旅館業","Ｅ−ＲＥＳＴ　ハウス瓦町","760-0052","高松市瓦町二丁目１０−４",,,"合同会社紹興酒家","代表社員","林　海","香川県","高松市井口町４番地１",,"第40248号","R06.02.27","簡易宿所"
"旅館業","田面屋　瀬戸","760-0012","高松市瀬戸内町５−５",,,"田面　敏郎",,,,,,"第40250号","R06.03.04","簡易宿所"
"旅館業","玉藻藤塚町","760-0071","高松市藤塚町２丁目５−３４",,,"合同会社亜細亜商事","代表社員","張　棟","香川県","高松市本町３−１０",,"第40249号","R06.03.04","簡易宿所"
"旅館業","ハレノヤ","760-0007","高松市中央町１８−２１","サンライズ瀬尾２０２",,"林　裕子",,,,,,"第40251号","R06.03.08","簡易宿所"
"旅館業","河西園","761-8041","高松市檀紙町８８",,,"河西　直子",,,,,,"第40252号","R06.03.15","簡易宿所"
"旅館業","女木島　オーテの宿　鬼ヶ島スティ","760-0092","高松市女木町２",,,"三島　惠子",,,,,,"第40253号","R06.03.22","簡易宿所"
"旅館業","Ｕｍｉ　ｔｏ　Ｔａｉｃｏ　せとうち太鼓の鼻ヴィレッジ","761-0130","高松市庵治町高尻３２２０−１",,,"株式会社イースト","代表取締役","長島　秀晃","東京都","千代田区丸の内三丁目４番１号",,"第40254号","R06.04.12","簡易宿所"
"旅館業","テナント　ハウス","760-0045","高松市古馬場町４−７",,,"小竹　寿典",,,,,,"第40255号","R06.05.01","簡易宿所"
"旅館業","巡り宿　木太町２ｎｄ","760-0080","高松市木太町１９１３−１０",,"087-813-1080","株式会社プラザセレクトワークス","代表取締役","三谷　浩之","香川県","高松市木太町１９１３番地１０",,"第40256号","R06.05.09","簡易宿所"
"旅館業","宿屋　Ｐｏｌｅ・Ｐｏｌｅ","761-0104","高松市高松町字角屋２２８８番地２８",,,"松本　裕美",,,,,,"第40257号","R06.05.16","簡易宿所"
"旅館業","ＳＥＴＯ　ＣＬＡＳ　ｆоｒ　ＳＬＥＥＰ　～Ｏｃｅａｎｓｉｄｅ　ＡＪＩ　ＳＡＳＡＯ～　Ａ棟","761-0130","高松市庵治町字笹尾５３１９−８４",,"087-805-9736","有限会社ディーエヌティ","取締役","中元　学","大阪府","大阪市北区天神橋二丁目５番３号","第五新興ビル４０２号","第40258号","R06.05.24","簡易宿所"
"旅館業","ゲストハウス　ＲＯＯＡＳＩＳ常磐町","760-0054","高松市常磐町２丁目１１−７",,,"合同会社紹興酒家","代表社員","林　海","香川県","高松市井口町４番地１",,"第40259号","R06.05.24","簡易宿所"
"旅館業","お宿Ｇａｎ・常磐","760-0054","高松市常磐町２−９−１９",,,"泉川　美幸",,,,,,"第40260号","R06.05.28","簡易宿所"
"旅館業","プレストスクエア松島町","760-0068","高松市松島町１丁目１７−５",,,"株式会社Ａｓａｈｉ商事","代表取締役","宮武　嘉美","香川県","高松市大工町８番地１０",,"第40261号","R06.06.17","簡易宿所"
"旅館業","Ｏｌｉｖｅ　ｈｏｕｓｅ","760-0066","高松市福岡町４丁目２５−４",,,"長町　君枝",,,,,,"第40262号","R06.06.25","簡易宿所"
"旅館業","ゲストハウス　海と石","760-0062","高松市塩上町１１−１１",,,"藤嶋　正造",,,,,,"第40263号","R06.07.01","簡易宿所"
"旅館業","エグゼクティブコート中新町","760-0056","高松市中新町１−２−３０１",,,"合同会社ルミナス","代表社員","高橋　玄之介","香川県","高松市今新町６−９−３０５",,"第40264号","R06.07.02","簡易宿所"
"旅館業","巡り宿木太町１ｓｔ","760-0080","高松市木太町１９１３−１０",,"087-813-1080","株式会社プラザセレクトワークス","代表取締役","三谷　浩之","香川県","高松市木太町１９１３番地１０",,"第40265号","R06.07.09","簡易宿所"
"旅館業","錦町の宿　路地屋","760-0020","高松市錦町一丁目１２−３１",,,"因藤　嗣久",,,,,,"第40267号","R06.07.23","簡易宿所"
"旅館業","ゴールデンタイム高松　離れ「金時」","760-0045","高松市古馬場町１４番地１９","３Ｆ","087-897-3177","有限会社万商事","代表取締役","吉原　栄子","香川県","高松市百間町８番地１５",,"第40266号","R06.07.23","簡易宿所"
"旅館業","油屋　本邸","761-1614","高松市塩江町上西乙５４５−１",,"087-888-5545","株式会社エナジーテック","代表取締役","松本　尋","香川県","高松市太田上町８番地１",,"第40269号","R06.08.01","簡易宿所"
"旅館業","油屋　別邸","761-1614","高松市塩江町上西乙５５５−１",,"087-888-5545","株式会社エナジーテック","代表取締役","松本　尋","香川県","高松市太田上町８番地１",,"第40270号","R06.08.01","簡易宿所"
"旅館業","ＶＩＬＬＡ　ＡＳＡＫＵＲＡ　ＣＥＮＴＲＡＬ　ＰＡＲＫⅡ","760-0050","高松市亀井町３−８","ＡＰＯＩＮＴビル　１階","087-835-4838","朝倉　博美",,,,,,"第40268号","R06.08.01","簡易宿所"
"旅館業","寄道アパート　１０１号室","761-0321","高松市前田西町８５１−６","Ｆｌａｔ　Ｌ・ＭⅡ　１０１号室",,"キキキ株式会社","代表取締役","田村　みずほ","沖縄県","沖縄県名護市我部祖河１１４９−２",,"第40271号","R06.08.14","簡易宿所"
"旅館業","寄道アパート　１０４号室","761-0321","高松市前田西町８５１−６","Ｆｌａｔ　Ｌ・ＭⅡ　１０４号室",,"キキキ株式会社","代表取締役","田村　みずほ","沖縄県","名護市我部祖河１１４９−２",,"第40272号","R06.08.14","簡易宿所"
"旅館業","髙松の宿　かめおか屋","760-0006","高松市亀岡町２番２０号　４０２",,,"丸土設備有限会社","代表取締役","土居　啓三","香川県","高松市松並町６８１番地６",,"第40273号","R06.08.14","簡易宿所"
"旅館業","ｈｏｈｏ","760-0020","高松市錦町１丁目６−２","錦町井上ビル２階",,"株式会社もりもり","代表取締役","森田　凌世","香川県","高松市鶴市町５２５番地３",,"第40274号","R06.08.15","簡易宿所"
"旅館業","ゲストハウスｓｉｍａｓｉｍａ　高松駅","760-0021","高松市西の丸町５−１２",,,"森　亮介",,,,,,"第40275号","R06.08.20","簡易宿所"
