"#property","latitude","longitude","address","alternativeName","city","name","corporateRepresentative","establisher","openingDate","telephone　number","medicalSubjects","note","numberOfBeds","pref","prefCode"
"jp.takamatsu.smartcity.medical.Hospital.291","34.288008","134.0021","香川県高松市中間町４９番地１０","無床診療所","高松市","医療法人社団藤沢こどもクリニック","理事長　藤澤　卓爾（じ）","医療法人社団藤沢こどもクリニック","2001/8/1","087-885-3338","小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.292","34.335314","134.059734","香川県高松市多賀町二丁目１８番１３号","無床診療所","高松市","ふくだ眼科クリニック","","福田　恒輝","2015/5/1","087-802-2777","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.293","34.345372","134.049763","香川県高松市古新町１０番地３　砂屋ビル６階","無床診療所","高松市","古新町こころの診療所","理事長　朝日　宏美","医療法人社団つたの葉","2017/10/1","087-802-2205","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.294","34.297754","133.996079","香川県高松市檀紙町５９番地１","無床診療所","高松市","医療法人社団藤沢眼科医院","理事長　藤澤　綾","医療法人社団藤沢眼科医院","2018/4/1","087-885-1010","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.295","34.29899","134.05895","香川県高松市多肥下町４８２番地","無床診療所","高松市","ふじもり内科・消化器内科クリニック","","藤森　崇行","2019/10/19","087-813-6114","内科・消化器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.296","34.295254","134.052535","香川県高松市多肥上町１１１１番地１","無床診療所","高松市","医療法人社団ふるきた皮フ科","理事長　古北　一泰","医療法人社団ふるきた皮フ科","2021/12/1","087-889-1112","皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.297","34.283796","134.041417","香川県高松市仏生山町甲２７１番地１０","無床診療所","高松市","仏生山駅前診療所","","竹本　貴昭","2022/4/1","087-802-2086","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.298","34.345345","134.050126","香川県高松市丸亀町２番地１３　丸亀町弐番街３号館３階","無床診療所","高松市","ブランクリニック　高松院","理事長　加藤　茂俊","医療法人社団白凛会","2023/5/1","087-899-2802","美容皮膚科、皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.299","34.308037","134.065053","香川県高松市林町２５２８番地１","無床診療所","高松市","医療法人社団東高松クリニック　ブレイン脳外科・内科クリニック","理事長　木村　正司","医療法人社団東高松クリニック","2024/4/1","087-866-2233","内科、脳神経外科、リハビリテーション科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.300","34.331389","134.047318","香川県高松市栗林町一丁目４番１１号","無床診療所","高松市","へいわこどもクリニック","理事長　北原　孝夫","香川医療生活協同組合","2010/3/8","087-835-2026","アレルギー科、小児科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.301","34.345757","134.039603","香川県高松市錦町二丁目１３番１１号","無床診療所","高松市","堀耳鼻咽喉科医院","","堀　芳朗","1997/1/1","087-821-8733","耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.302","34.344629","134.046678","香川県高松市番町一丁目２番１９号","無床診療所","高松市","ほそかわクリニック","","細川　二郎","2005/5/9","087-811-3252","心療内科、精神科、神経科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.303","34.344036","134.050908","香川県高松市今新町８番地５","無床診療所","高松市","本多内科医院","","本多　完次","2011/11/8","087-821-4916","内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.304","34.285974","134.033112","香川県高松市一宮町１４３番地５","無床診療所","高松市","医療法人社団マツオカ医院","理事長　松岡　信夫","医療法人社団マツオカ医院","1991/2/1","087-888-2222","内科、糖尿病内科、皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.305","34.334515","134.047269","香川県高松市藤塚町一丁目３番２１号","無床診療所","高松市","医療法人社団松田内科医院","理事長　松田　和也","医療法人社団松田内科医院","1993/3/1","087-831-4601","内科、胃腸内科、循環器内科、内視鏡内科、漢方内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.306","34.343024","134.04412","香川県高松市番町二丁目４番１５号","無床診療所","高松市","医療法人社団真鍋医院","理事長　真鍋　敏毅","医療法人社団真鍋医院","1993/11/1","087-851-2678","耳鼻咽喉科、気管食道科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.307","34.338741","134.05545","香川県高松市塩上町二丁目８番１号","無床診療所","高松市","医療法人社団松本整形外科医院","理事長　松本　学　","医療法人社団松本整形外科医院","1995/6/1","087-835-5272","整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.308","34.340547","134.056146","香川県高松市塩上町二丁目２番６号","無床診療所","高松市","医療法人社団哲樹会真弓内科呼吸器科医院","理事長　真弓　哲二","医療法人社団哲樹会","1996/9/1","087-835-2321","内科、呼吸器科、循環器科、糖尿病内科、女性内科、アレルギー科、リウマチ科、皮膚科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.309","34.30665","134.057027","香川県高松市多肥下町１５０１番地１","無床診療所","高松市","医療法人社団松山内科クリニック","理事長　松山　哲子","医療法人社団松山内科クリニック","1998/9/1","087-867-7778","内科、循環器内科、糖尿病内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.310","34.276308","134.099515","香川県高松市川島東町５１８番地１","無床診療所","高松市","松原耳鼻咽喉科医院","","松原　一仁","1998/4/1","087-848-1100","耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.311","34.340911","134.053813","香川県高松市福田町１３番地３","無床診療所","高松市","医療法人社団研友会真弓皮膚泌尿器科医院","理事長　真弓　研介","医療法人社団研友会","2006/4/18","087-821-3913","皮膚科、泌尿器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.312","34.339923","134.051817","香川県高松市瓦町二丁目７番地１　冠野ビル４Ｆ","無床診療所","高松市","医療法人社団松下眼科","理事長　松下　明子","医療法人社団松下眼科","2007/3/1","087-833-1388","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.313","34.296118","134.099346","香川県高松市前田西町１０８０番地７","無床診療所","高松市","医療法人社団看源会松木泌尿器科医院","理事長　松木　孝和","医療法人社団看源会","2007/5/1","087-847-1121","泌尿器科、性病科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.314","34.337768","134.065601","香川県高松市松島町二丁目１７番１５号","無床診療所","高松市","内科前田医院","","前田　道彦","2007/12/18","087-863-5252","内科、アレルギー科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.315","34.344829","134.051529","香川県高松市大工町１番地１２","無床診療所","高松市","医療法人社団マヤ内科医院","理事長　栗生　俊紀","医療法人社団マヤ内科医院","2009/10/1","087-821-5230","内科、消化器内科、循環器内科、","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.316","34.344687","134.016858","香川県高松市郷東町東新開１３４番地１　西高松メディカルビルイーア３階","無床診療所","高松市","医療法人社団つなぎまさだ皮フ科","理事長　政田　みち","医療法人社団つなぎまさだ皮フ科","2009/10/1","087-832-8833","皮膚科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.317","34.344687","134.016858","香川県高松市郷東町東新開１３４番地１　西高松メディカルビルイーア３階","無床診療所","高松市","医療法人社団あずみ会まつもと眼科","理事長　松本　美千代","医療法人社団あずみ会まつもと眼科","2009/10/1","087-832-8822","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.318","34.343183","134.049773","香川県高松市丸亀町５番地９　阿波屋ビル２階","無床診療所","高松市","丸亀町眼科医院","","岩田　武","2011/7/1","087-811-5175","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.319","34.343713","134.050223","香川県高松市丸亀町１２番地８　ラクダやビル２階","無床診療所","高松市","丸亀町アイクリニック","","平岡　一志","2014/7/14","087-804-0022","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.320","34.342204","134.039039","香川県高松市番町三丁目２０番２号","無床診療所","高松市","医療法人信眼会まなべ眼科クリニック","理事長　信田　和男","医療法人信眼会","2019/10/1","087-816-5580","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.321","34.345726","134.050233","香川県高松市丸亀町１番地１　丸亀町壱番街西館３階","無床診療所","高松市","丸亀町クリニック","理事長　豊永　慎二","医療法人社団豊永会","2020/4/1","087-802-6360","内科、循環器内科、リハビリ科、放射線科、整形外科、泌尿器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.322","34.348615","134.064045","香川県高松市朝日町二丁目２番７号　Ｌ−ビルディング２階","無床診療所","高松市","医療法人社団壽弘会ましま内科・循環器科内科クリニック","理事長　間島　圭一","医療法人社団壽弘会","2020/10/1","087-811-1810","内科、循環器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.323","34.32119","134.04111","香川県高松市東ハゼ町１２番地７","無床診療所","高松市","真弓愛メディカルクリニック","理事長　真弓　哲二","医療法人社団哲樹会","2021/6/1","087-802-3575","美容皮膚科、女性内科、皮膚科、形成外科、内科、歯科、小児歯科、矯正歯科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.324","34.298378","134.05318","香川県高松市多肥下町２４６番地１","無床診療所","高松市","まる耳鼻咽喉科","理事長　表原　慶典","医療法人まる耳鼻咽喉科","2021/10/1","087-868-5600","耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.325","34.286501","134.005528","香川県高松市円座町１５７５番地３","無床診療所","高松市","医療法人社団溝口クリニック","理事長　溝口　晶仁","医療法人社団溝口クリニック","1993/6/1","087-886-0824","内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.326","34.339653","134.051331","香川県高松市瓦町二丁目７番地１６−４Ｆ","無床診療所","高松市","みのクリニック","","三野　進","1995/10/20","087-863-1155","心療内科、精神科、神経内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.327","34.324034","134.079616","香川県高松市木太町３６０２番地１","無床診療所","高松市","医療法人社団光樹会水谷内科クリニック","理事長　コルビン真梨子","医療法人社団光樹会","2001/7/1","087-835-5037","内科、消化器科、肝臓内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.328","34.326577","134.046233","香川県高松市花ノ宮町一丁目１２番３６号","無床診療所","高松市","医療法人社団宮本耳鼻咽喉科医院","理事長　宮本　永祥","医療法人社団宮本耳鼻咽喉科医院","2005/5/1","087-834-0666","耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.329","34.329596","134.056597","香川県高松市楠上町二丁目３番１５号　アルファメディカルモール２階","無床診療所","高松市","医療法人社団みやもとレディースクリニック","理事長　宮本　誠一郎","医療法人社団みやもとレディースクリニック","2013/4/1","087-806-1177","産科、婦人科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.330","34.295053","134.05255","香川県高松市多肥上町１１１１番地１　多肥メディカル・イーア３Ｆ","無床診療所","高松市","みぞて眼科クリニック","","溝手　雅宣","2016/5/20","087-806-1103","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.331","34.277813","134.068952","香川県高松市三谷町１１６１番地１","無床診療所","高松市","水尾医院","","水尾　純","2016/4/21","087-899-8620","内科、循環器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.332","34.292493","134.074574","香川県高松市林町４７８番地１","無床診療所","高松市","みやべ耳鼻咽喉科クリニック","理事長　宮部　和德","医療法人社団M.J.C.晃成会","2017/1/1","087-889-1133","アレルギー科、耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.333","34.322917","134.028797","香川県高松市西春日町１１１１番地１　峰山くらし広場１階","無床診療所","高松市","医療法人ブルームみねやまクリニック","理事長　藤澤　成人","医療法人ブルームみねやまクリニック","2020/10/1","087-865-3387","内科、耳鼻咽喉科、皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.334","34.295053","134.05255","香川県高松市多肥上町１１１１番地１　多肥メディカルビル・イーア２階","無床診療所","高松市","医療法人社団光心会みつ内科・ハートクリニック","理事長　藤村　光則","医療法人社団光心会","2022/7/1","087-888-3810","内科、循環器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.335","34.346861","134.052608","香川県高松市内町３番２号","無床診療所","高松市","みき内科外科医院","","三木　明寛","2022/9/1","087-823-1127","内科、外科、肛門外科、耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.336","34.351377","134.039878","香川県高松市浜ノ町６０番６５号","無床診療所","高松市","むらせ内科クリニック","","村瀨　知也","2018/12/1","087-813-7333","内科、放射線科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.337","34.348449","134.064046","香川県高松市朝日町二丁目２番７号　Ｌ−ビルディング２階","無床診療所","高松市","むらかわクリニック","","村川　直道","2024/4/26","087-823-2525","児童精神科、小児科、リハビリテーション科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.338","34.341284","134.048846","香川県高松市番町三丁目３番１７号　プレシャス番町ビル４Ｆ","無床診療所","高松市","メディカルカウンセリングルームたなかクリニック","","田中　和孝","2023/3/1","087-812-5556","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.339","34.338438","134.045319","香川県高松市天神前８番１４号","無床診療所","高松市","医療法人社団森岡皮膚科医院","理事長　森岡　眞治","医療法人社団森岡皮膚科医院","2005/4/1","087-834-1011","皮膚科、泌尿器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.340","34.339925","134.05217","香川県高松市瓦町二丁目６番地１","無床診療所","高松市","森下内科医院","","森下　直也","2012/4/1","087-831-5557","内科、循環器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.341","34.311298","134.061665","香川県高松市松縄町１１４０番地９","無床診療所","高松市","もりした眼科クリニック","","森下　真実","2018/4/24","087-865-6633","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.342","34.316","134.04707","香川県高松市三条町３２１番地２","無床診療所","高松市","医療法人社団安原クリニック","理事長　松本　由佳","医療法人社団安原クリニック","2000/7/1","087-866-1111","産科、婦人科、糖尿病内科、代謝内科、腎臓内科、美容外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.343","34.314165","133.999881","香川県高松市飯田町１７番地５","無床診療所","高松市","矢野皮膚科クリニック","","矢野　充範","1990/3/12","087-881-5885","アレルギー科、美容外科、皮膚科、美容皮膚科、泌尿器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.344","34.283403","134.026052","香川県高松市一宮町４０３番地１","無床診療所","高松市","医療法人社団清瞳会山内クリニック","理事長　山内　紀子","医療法人社団清瞳会","1993/5/1","087-886-7082","内科、消化器科、循環器科、胃腸科、放射線科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.345","34.34033","134.10754","香川県高松市高松町２５５２番地２","無床診療所","高松市","医療法人社団英新会屋島みちクリニック","理事長　細江　浩文","医療法人社団英新会","2005/10/1","087-844-3933","心療内科、精神科、神経内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.346","34.325168","134.092855","香川県高松市春日町７９９番地１","無床診療所","高松市","山崎内科呼吸器科医院","","山崎　保寛","2005/12/16","087-818-1560","内科、呼吸器科、アレルギー科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.347","34.307925","133.974301","香川県高松市国分寺町新居３３８８番地","無床診療所","高松市","医療法人社団山田医院","理事長　山田　淳智","医療法人社団山田医院","1998/4/1","087-874-0040","内科、消化器内科、糖尿病内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.348","34.338533","134.048057","香川県高松市亀井町１１番地７","無床診療所","高松市","ヤノ肛門外科クリニック","","矢野　賢二","2008/12/1","087-861-1515","肛門外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.349","34.340523","134.110546","香川県高松市高松町３００２番地１３","無床診療所","高松市","医療法人社団屋島眼科クリニック","理事長　小川  哲郎","医療法人社団屋島眼科クリニック","2009/10/1","087-844-1341","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.350","34.340327","134.045005","香川県高松市天神前５番６号","無床診療所","高松市","医療法人社団耕仁会やまぐちクリニック","理事長　山口  耕司","医療法人社団耕仁会やまぐちクリニック","2010/10/1","087-832-5611","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.351","34.304131","134.090592","香川県高松市東山崎町９０番地６","無床診療所","高松市","医療法人社団安元クリニック","理事長　安元　章浩","医療法人社団安元クリニック","2012/4/1","087-847-1300","皮膚科、泌尿器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.352","34.3127","134.06365","香川県高松市木太町５０７７番地２","無床診療所","高松市","やまもと中央クリニック","","山本　議仁","2019/5/1","087-802-7500","泌尿器科、内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.353","34.28417","133.96305","香川県高松市国分寺町福家甲３０９１番地４","無床診療所","高松市","安田内科","","安田　貢","2019/11/14","087-875-2525","内科・消化器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.354","34.33833","134.10943","香川県高松市高松町２５００番地５","無床診療所","高松市","屋島おおはら内科・消化器内科クリニック","理事長　大原　芳章","医療法人社団葵桜会","2022/4/1","087-844-8705","内科、消化器内科、肝臓内科、糖尿病内科、内分泌内科","、","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.355","34.322156","134.04552","香川県高松市上之町一丁目３番２９号","無床診療所","高松市","医療法人社団湯浅クリニック","理事長　湯浅　誠","医療法人社団湯浅クリニック","1995/12/1","087-868-9111","内科、皮膚科、泌尿器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.356","34.304087","133.944704","香川県高松市国分寺町国分２０９０番地１","無床診療所","高松市","ゆりのき診療室","","花岡　正憲","2003/5/16","087-874-2217","精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.357","34.307427","134.062165","香川県高松市伏石町２１５０番地５","無床診療所","高松市","ゆいメンタルクリニック","","鈴木　ゆい","2007/7/9","087-897-7277","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.358","34.349573","134.088105","香川県高松市屋島西町２４８７番地２１","無床診療所","高松市","湯川クリニック","","湯川　貴男","2017/5/10","087-813-8270","放射線科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.359","34.305941","134.070802","香川県高松市林町１９７１番地１０","無床診療所","高松市","吉田内科医院","","吉田　恭典","1989/2/3","087-867-0777","内科、胃腸科、循環器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.360","34.34816","134.052185","香川県高松市丸の内４番９号　丸の内ビル２Ｆ","無床診療所","高松市","横井クリニック","","横井　一郎","1994/6/1","087-821-2212","内科、胃腸科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.361","34.309295","134.055633","香川県高松市伏石町２１２９番地２","無床診療所","高松市","公益財団法人香川県予防医学協会予防協会健康管理センター","理事長　河合　公三","公益財団法人香川県予防医学協会","1995/11/1","087-868-5555","内科、婦人科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.362","34.361609","133.960075","香川県高松市生島町４６０番地１","無床診療所","高松市","医療法人社団横田外科医院","理事長　横田　博","医療法人社団横田外科医院","1999/4/1","087-882-7165","外科、麻酔科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.363","34.350382","134.047985","香川県高松市西の丸町２番１７号","無床診療所","高松市","よしまつクリニック","","吉松　誠","2002/2/5","087-811-7333","心療内科、精神科、神経内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.364","34.323622","134.073243","香川県高松市木太町１６６３番地２","無床診療所","高松市","横井内科医院","","横井　徹","2009/2/1","087-862-2222","内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.365","34.315576","134.068447","香川県高松市木太町５０５５番地４","無床診療所","高松市","医療法人社団吉村整形外科醫院","理事長　吉村　裕","医療法人社団吉村整形外科醫院","2010/9/1","087-866-6666","リウマチ科、整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.366","34.297794","134.055315","香川県高松市多肥下町３５９番地１","無床診療所","高松市","医療法人社団よこい内科クリニック","理事長　横井　健治","医療法人社団よこい内科クリニック","2013/9/1","087-869-4511","内科、消化器内科、循環器内科、糖尿病・代謝内科、内分泌内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.367","34.298029","133.96249","香川県高松市国分寺町新居１３５６番地１","無床診療所","高松市","医療法人社団優生会吉田眼科","理事長　吉田　慎一","医療法人社団優生会","2013/10/1","087-875-1010","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.368","34.345549","134.050241","香川県高松市丸亀町１番地１　丸亀町壱番街西館２階","無床診療所","高松市","陽子レディースクリニック","","安藤　陽子","2014/5/15","087-811-6607","女性内科、産婦人科、婦人科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.369","34.339511","134.052208","香川県高松市瓦町二丁目６番地１４","無床診療所","高松市","リッツ美容外科","","古屋　富治雄","2001/4/8","087-831-6022","美容外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.370","34.336729","134.039705","香川県高松市亀岡町１１番１０号","無床診療所","高松市","医療法人社団宅光会リウマチ・腎臓内科はちまんクリニック","理事長　光中　弘毅","医療法人社団宅光会","1998/2/1","087-862-7878","内科、人工透析内科、腎臓内科、リウマチ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.371","34.329596","134.056597","香川県高松市楠上町二丁目３番１５号","無床診療所","高松市","りつりん皮フ科クリニック","理事長　森田　和政","医療法人社団健悠会","2016/5/1","087-813-4112","皮膚科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.372","34.298041","134.058367","香川県高松市多肥下町４６６番地","無床診療所","高松市","竜雲メンタルクリニック","理事長　海野　順","医療法人社団光風会","2024/9/1","087-840-0735","心療内科、精神科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.373","34.305498","134.058768","香川県高松市多肥下町１５０６番地２０","無床診療所","高松市","レインボー通り内科クリニック","","松原　修司","2021/4/1","087-868-2416","内科、糖尿病内科、内分泌内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.374","34.293392","134.087622","香川県高松市六条町１７番地１","無床診療所","高松市","六条眼科","","田中　剛","2015/12/4","087-873-2735","眼科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.375","34.291787","134.090412","香川県高松市下田井町３７２番地１","無床診療所","高松市","六条ひふ科クリニック","","印藤　昌彦","2019/2/9","087-802-3906","皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.376","34.337678","134.010555","香川県高松市鶴市町２０３９番地２","無床診療所","高松市","和田内科循環器科医院","","和田　茂","1992/11/20","087-881-7575","内科、循環器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.377","34.31924","134.080367","香川県高松市木太町４０２０番地１","無床診療所","高松市","和田産婦人科医院","","出口　理恵","2005/1/1","087-867-2340","産科、婦人科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.378","34.320711","134.028861","香川県高松市松並町１０２３番地３","無床診療所","高松市","わかばクリニック","","藤田　博茂","2018/2/15","090-3188-0005","外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.379","34.286105","134.050620","香川県高松市出作町字東原２８１番地１","無床診療所","高松市","わたなべ耳鼻咽喉科","理事長　渡辺　正博","医療法人社団龍里会","2018/10/11","087-889-8733","アレルギー科、耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.380","34.342765","134.047435","香川県高松市番町一丁目７番２２号","無床診療所","高松市","渡邉医院","理事長　渡邉　晴二","医療法人清進会","2020/9/1","087-851-2067","感染症内科、皮膚科、泌尿器科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.381","34.339205","134.049864","香川県高松市常磐町一丁目５−１　ジオ高松常磐町J．CRESTタワー１階B区画","無床診療所","高松市","瓦町ファミリークリニック","","間嶋　荘一郎","2025/01/06","087-884-3001","内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.382","34.346247","134.039149","香川県高松市扇町一丁目２４番５号","有床診療所","高松市","医療法人社団慈和会高松ささき内科ハートクリニック","理事長　佐々木　雅英","医療法人社団慈和会","2001/10/01","087-851-6688","内科、循環器内科、糖尿病内科、リハビリテーション科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.383","34.299785","134.089314","香川県高松市六条町１６６番地","無床診療所","高松市","医療法人社団静正会白石心臓血管クリニック","理事長　","医療法人社団静正会","2006/07/01","087-847-0011","循環器内科、血管外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.384","34.272232","133.995147","香川県高松市岡本町幸ノ神８５８番１","無床診療所","高松市","ちよ内科クリニック","","千代　大翔","2024/12/01","087-813-8881","内科、消化器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.385","34.339736","134.052541","香川県高松市兵庫町１１番地６　カーニープレイス高松兵庫町ビル３階","無床診療所","高松市","ＴＣＢ　東京中央美容外科・ＴＣＢ　スキンクリニック　高松院","理事長　寺西　宏王","医療法人社団創彩会","2022/12/19","087-802-5791","美容内科、形成外科、美容外科、皮膚科、美容皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.386","34.338276","134.044109","香川県高松市天神前６番２１号","無床診療所","高松市","医療法人社団幡内科・消化器内科クリニック","理事長　幡　英典","医療法人社団幡内科・消化器内科クリニック","2024/03/25","087-835-3366","内科、消化器ｋ内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.387","34.347426","134.121653","香川県高松市牟礼町牟礼２５６０番地１１","無床診療所","高松市","医療法人社団ふくま内科クリニック","理事長　福間　博基","医療法人社団ふくま内科クリニック","2001/08/01","087-870-1311","内科、消化器科、リハビリテーション科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.388","34.291618","134.039743","香川県高松市太田上町２１２番地５","歯科","高松市","おぐら歯科医院","","小倉　寛治","1979/3/1","087-888-0222","歯科、小児歯科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.390","34.333461","134.082714","香川県高松市木太町２８３６番地１","歯科","高松市","阿部歯科医院","","阿部　康一","1980/3/1","087-834-5314","歯科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.391","34.338732","134.044408","香川県高松市天神前６番６号","歯科","高松市","医療法人社団ア歯会ア歯科診療所","理事長　松岡　省三","医療法人社団ア歯会","1980/10/1","087-835-5000","歯科、矯正歯科、小児歯科、歯科口腔外科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.392","34.321541","134.062843","香川県高松市松縄町４４番地７","歯科","高松市","アキ歯科医院","","安藝　豊司","1982/9/7","087-866-5522","歯科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.393","34.273044","134.086751","香川県高松市川島東町９５８番地３","歯科","高松市","梅村歯科医院","","梅村　謙二","1982/11/1","087-848-1136","歯科、矯正歯科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.394","34.307105","134.043079","香川県高松市太田下町２２２０番地６","歯科","高松市","穴吹歯科医院","","穴吹　昇三","1987/5/28","087-865-8200","歯科","","","香川県","372013"
