#LINK,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0062,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/hospital,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,address,katagaki,location,telephoneNumber,extensionNumber,faxNumber,corporateNumber,corporateName,medicalCode,availableDate,medicalStartTime,medicalEndTime,availableDateNote,overtimeResponse,medicalSubjects,numberOfBeds,referenceObject,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
299,372013,,香川県,高松市,藤井内科循環器科医院,フジイナイカジュンカンキカイイン,無床診療所,香川県高松市多肥下町57,,",",087-865-7711,,087-868-0210,,医療法人社団藤井内科循環器科医院,,月火水木金土,09：00,18：00,木曜日、土曜日13：00まで。,,内科、循環器内科,0,,
300,372013,,香川県,高松市,藤沢眼科,フジサワガンカ,無床診療所,香川県高松市檀紙町59-1,,",",087-885-1010,,,,医療法人社団藤沢眼科医院,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,眼科,0,http://fujisawa-a-eyeclinic.com/,
301,372013,,香川県,高松市,藤沢こどもクリニック,フジサワコドモクリニック,無床診療所,香川県高松市中間町49-10,,",",087-885-3338,,087-885-2272,,医療法人社団藤沢こどもクリニック,,月火水木金土,08：30,18：00,水曜日、土曜日12：30まで。,,小児科,0,http://fujisawa.kids.coocan.jp/,
302,372013,,香川県,高松市,二川産婦人科レディースクリニック,フタガワサンフジンカレディースクリニック,有床診療所,香川県高松市三名町118-1,,",",087-888-1188,,087-888-2700,,医療法人社団太紀会,,月火水木金土,09：00,17：30,木曜日、土曜日12：00まで。,,産科、婦人科,18,https://itp.ne.jp/info/374221625400000899/,
303,372013,,香川県,高松市,仏生山駅前　こだまクリニック,ブッショウザンエキマエコダマクリニック,無床診療所,香川県高松市仏生山町甲816-5,,",",087-814-4262,,087-814-4263,,児玉　浩昭,,月火水木金土,09：00,17：30,水・木・土曜日12：30まで、第１第３休診。,,内科、リウマチ科、整形外科、形成外科、リハビリ科、放射線科,0,"https://itp.ne.jp/info/373132002103971550/
http://ameblo.jp/kodama-clinic/",
304,372013,,香川県,高松市,仏生山クリニック,ブッショウザンクリニック,無床診療所,香川県高松市出作町205-1,,",",087-889-0111,,087-889-0112,,医療法人仏生山クリニック,,月火水木金土,09：00,18：00,水曜日12：30、土曜日14：00まで。,,内科、呼吸器科、アレルギー科、小児科,0,"http://busshozancl.webcrow.jp/
https://itp.ne.jp/info/378020726149130820/",
305,372013,,香川県,高松市,仏生山みぞぶち内科医院,ブッショウザンミゾブチナイカイイン,無床診療所,香川県高松市仏生山町甲691-1,,",",087-888-1322,,087-888-6390,,医療法人社団仏生山みぞぶち内科医院,,月火水木金土,08：30,18：00,木曜日、土曜日12：00まで。,,内科、胃腸内科,0,,
306,372013,,香川県,高松市,古新町こころの診療所,フルジンマチココロノシンリョウショ,無床診療所,香川県高松市古新町10-3,砂屋ビル6階,",",087-802-2205,,,,医療法人社団つたの葉,,月火水木金土,08：30,17：00,水曜日19：00、木曜日と土曜日12：00まで。,,心療内科、精神科,0,http://www.kokoro-c.jp,
307,372013,,香川県,高松市,ぶんご内科医院,ブンゴナイカイイン,無床診療所,香川県高松市太田下町2463-6,,",",087-869-7117,,087-869-7118,,豊後　雅巳,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,呼吸器科、消化器科,0,https://www.bungoiin.com/,
308,372013,,香川県,高松市,へいわこどもクリニック,ヘイワコドモクリニック,無床診療所,香川県高松市栗林町一丁目4-11,,",",087-835-2026,,087-835-2027,,香川医療生活協同組合,,月火水木金土,09：00,19：00,土曜日13：00まで。,,アレルギー科、小児科,0,https://heiwakodomo.com/,
309,372013,,香川県,高松市,ほそかわクリニック,ホソカワクリニック,無床診療所,香川県高松市番町一丁目2-19,,",",087-811-3252,,087-811-3258,,細川　二郎,,月火水金土,10：00,19：30,火曜日15：00から19：30まで。土曜日13：00まで。,,心療内科、精神科、神経科,0,http://www.h-clinic.com/,
310,372013,,香川県,高松市,堀耳鼻咽喉科医院,ホリジビインコウカイイン,無床診療所,香川県高松市錦町二丁目13-11,,",",087-821-8733,,087-821-8735,,堀　芳朗,,月火水木金土,09：00,17：30,土曜日13：00まで。,,耳鼻咽喉科,0,,
311,372013,,香川県,高松市,本多内科医院,ホンダナイカイイン,無床診療所,香川県高松市今新町8-5,,",",087-821-4916,,087-822-7275,,本多　完次,,月火水木金土,09：00,17：30,木曜日、土曜日13：00まで。,,内科,0,https://www.hondanaika.com/,
312,372013,,香川県,高松市,まさだ皮フ科,マサダヒフカ,無床診療所,香川県高松市郷東町東新開134-1,西高松メディカルビルイーア3階,",",087-832-8833,,087-881-1757,,医療法人社団つなぎまさだ皮フ科,,月火水木金土,09：00,18：00,水曜日12：30、土曜日13：00まで。,,皮膚科、美容皮膚科,0,http://www.masada-hifuka.com/,
313,372013,,香川県,高松市,ましま内科・循環器内科クリニック,マシマナイカ・ジュンカンキナイカクリニック,無床診療所,香川県高松市朝日町二丁目2-7,Ｌ-ビルディング2階,",",087-811-1810,,,,医療法人社団壽弘会,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,内科、循環器内科,0,http://www.mashima-naikajun.com/,
314,372013,,香川県,高松市,マツオカ医院,マツオカイイン,無床診療所,香川県高松市一宮町143-5,,",",087-888-2222,,087-888-1995,,医療法人社団マツオカ医院,,月火水木金土,08：30,18：00,木曜日、土曜日12：30まで。,,内科、糖尿病内科、皮膚科,0,https://itp.ne.jp/info/510000000000062080/shop/,
315,372013,,香川県,高松市,松岡医院,マツオカイイン,無床診療所,香川県高松市香川町川東上2032-6,,",",087-879-2011,,087-879-7351,,松岡　義久,,月火水木金土,08：30,18：00,水曜日、土曜日13：00まで。,,内科、小児科,0,,
316,372013,,香川県,高松市,松木泌尿器科医院,マツキヒニョウキカイイン,無床診療所,香川県高松市前田西町1080-7,,",",087-847-1121,,087-847-1128,,医療法人社団看源会,,月火水木金土,09：00,18：00,土曜日13：00まで。,,泌尿器科、性病科,0,http://www.mat-iin.com/,
317,372013,,香川県,高松市,松下眼科医院,マツシタガンカイイン,無床診療所,香川県高松市瓦町二丁目7-1,冠野ビル4F,",",087-833-1388,,087-861-9932,,医療法人社団松下眼科,,月火水木金土,09：00,17：30,水曜日12：30まで。,,眼科,0,,
318,372013,,香川県,高松市,松田胃腸科外科医院,マツダイチョウカゲカイイン,無床診療所,香川県高松市高松町3004-2,,",",087-843-3377,,087-843-3378,,松田　滋明,,月火水木金土,09：00,12：30,,,胃腸科、外科,0,,
319,372013,,香川県,高松市,松田内科医院,マツダナイカイイン,無床診療所,香川県高松市藤塚町一丁目3-21,,",",087-831-4601,,087-833-7255,,医療法人社団松田内科医院,,月火水木金土,09：00,18：00,土曜日11：00まで。,,内科、胃腸内科、循環器内科、内視鏡内科、漢方内科,0,https://itp.ne.jp/info/379590905400000899/,
320,372013,,香川県,高松市,松原耳鼻咽喉科医院,マツバラジビインコウカイイン,無床診療所,香川県高松市川島東町518-1,,",",087-848-1100,,087-848-1100,,松原　一仁,,月火水木金土,09：00,18：00,水曜日12：00、土曜日16：00まで。,,耳鼻咽喉科,0,,
321,372013,,香川県,高松市,まつもと眼科,マツモトガンカ,無床診療所,香川県高松市郷東町東新開134-1,西高松メディカルビルイーア3階,",",087-832-8822,,087-881-5358,,医療法人社団あずみ会まつもと眼科,,月火水木金土,09：00,18：00,水曜日12：00、土曜日13：00まで。,,眼科,0,https://ophthalmology.nishitakamatsu.jp/,
322,372013,,香川県,高松市,松本整形外科医院,マツモトセイケイゲカイイン,無床診療所,香川県高松市塩上町二丁目8-1,,",",087-835-5272,,087-835-5272,,医療法人社団松本整形外科医院,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,整形外科、リハビリ科,0,,
323,372013,,香川県,高松市,松山内科クリニック,マツヤマナイカクリニック,無床診療所,香川県高松市多肥下町1501-1,,",",087-867-7778,,087-867-7689,,医療法人社団松山内科クリニック,,月火水金土日,09：00,17：00,木曜日、土曜日12：00,,内科、循環器内科、糖尿病内科,0,http://www.matsuyama-clinic.com/,
324,372013,,香川県,高松市,真鍋医院,マナベイイン,無床診療所,香川県高松市番町二丁目4-15,,",",087-851-2678,,087-851-2676,,医療法人社団真鍋医院,,月火水金土,09：00,18：30,土曜日16：30まで。,,耳鼻咽喉科、気管食道内科,0,,
325,372013,,香川県,高松市,まなべ眼科クリニック,マナベガンカクリニック,無床診療所,香川県高松市番町三丁目20-2,,",",087-816-5580,,087-816-7307,,医療法人　信眼会,,月火水木金,09：00,18：00,　,,眼科,0,https://www.manabeganka.jp/,
326,372013,,香川県,高松市,マヤ内科医院,マヤナイカイイン,無床診療所,香川県高松市大工町1-12,,",",087-821-5230,,087-821-5210,,医療法人社団マヤ内科医院,,月火水木金土,09：00,18：00,火曜日、木曜日13：00まで。,,内科、消化器内科、循環器内科、,0,,
327,372013,,香川県,高松市,真弓内科呼吸器科医院,マユミナイカコキュウキカイイン,無床診療所,香川県高松市塩上町二丁目2-6,,",",087-835-2321,,087-835-2373,,医療法人社団哲樹会,,月火水木金土,09：00,18：00,木曜日13：00まで。,,内科、呼吸器科、循環器科、糖尿病内科、女性内科、アレルギー科、リウマチ科、皮膚科、美容皮膚科,0,http://www.satokikai.jp/a6427.html,
328,372013,,香川県,高松市,真弓皮膚泌尿器科医院,マユミヒフヒニョウキカイイン,無床診療所,香川県高松市福田町13-3,,",",087-821-3913,,087-821-3842,,医療法人社団研友会,,月火水木金土,09：00,18：00,土曜日13：00まで。,,皮膚科、泌尿器科,0,https://www.mayumi-clinic.jp/,
329,372013,,香川県,高松市,丸亀町アイクリニック,マルガメマチアイクリニック,無床診療所,香川県高松市丸亀町12-8,ラクダやビル2階,",",087-804-0022,,,,平岡　一志,,水木金土日祝,11：00,18：30,,,眼科,0,,
330,372013,,香川県,高松市,丸亀町眼科医院,マルガメマチガンカイイン,無床診療所,香川県高松市丸亀町5-9,阿波屋ビル2階,",",087-811-5175,,087-811-5176,,岩田　武,,月木金土日祝,10：30,18：30,日曜日、祝日18：00まで。,,眼科,0,,
331,372013,,香川県,高松市,丸亀町クリニック,マルガメマチクリニック,無床診療所,香川県高松市丸亀町1-1,丸亀町壱番街西館3階,",",087-802-6360,,,,医療法人社団　豊永会,,月火木金土,09：00,18：00,,,内科、循環器内科、リハビリテーション科、放射線科、整形外科、泌尿器科,0,http://www.marucl.jp/,
332,372013,,香川県,高松市,まる耳鼻咽喉科,マルジビインコウカ,無床診療所,香川県高松市多肥下町246-1,,",",087-868-5600,,,,医療法人まる耳鼻咽喉科,,月火水木金土,09：00,17：30,水曜日、土曜日12：00まで。,,耳鼻咽喉科,0,http://www.maru-clinic.jp/,
333,372013,,香川県,高松市,水尾医院,ミズオイイン,無床診療所,香川県高松市三谷町1161-1,,",",087-899-8620,,,,水尾　純,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,内科、循環器内科,0,,
334,372013,,香川県,高松市,水谷内科クリニック,ミズタニナイカクリニック,無床診療所,香川県高松市木太町3602-1,,",",087-835-5037,,087-835-5036,,医療法人社団光樹会,,月火木金土,09：00,18：00,　,,内科、消化器内科、肝臓内科,0,"http://m-koujyukai.or.jp/
http://user.j-connect.net/koujyukai/mizutani",
335,372013,,香川県,高松市,溝口クリニック,ミゾグチクリニック,無床診療所,香川県高松市円座町1575-3,,",",087-886-0824,,087-886-0824,,医療法人社団溝口クリニック,,月火水木金土,08：00,18：00,木曜日、土曜日12：30まで。,,内科,0,,
336,372013,,香川県,高松市,みぞて眼科クリニック,ミゾテガンカクリニック,無床診療所,香川県高松市多肥上町1111-1,多肥メディカルビル・イーア3F,",",087-806-1103,,087-806-1105,,溝手　雅宣,,月火水木金土,09：00,18：00,水曜日、土曜日12：00まで。,,眼科,0,https://www.mizote-eye.com/,
337,372013,,香川県,高松市,みつ内科・ハートクリニック,ミツナイカ・ハートクリニック,無床診療所,香川県高松市多肥上町1111-1,多肥メディカルビル・イーア2F,",",087-888-3810,,,,藤村　光則,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,内科、循環器内科,0,"http://www.ihr-medical.net/mitsu/
https://hospital.dr-navip.jp/kagawa/facility/1530/",
338,372013,,香川県,高松市,みねやまクリニック,ミネヤマクリニック,無床診療所,香川県高松市西春日町1111-1,,",",087-865-3387,,,,医療法人ブルームみねやまクリニック,,月火水木金,09：00,17：30,水曜日診察13：00まで、午後往診。,,内科、耳鼻咽喉科、皮膚科,0,,
339,372013,,香川県,高松市,みのクリニック,ミノクリニック,無床診療所,香川県高松市瓦町二丁目7-16,ソレイユ第3ビル4F,",",087-863-1155,,087-863-3306,,三野　進,,月火水金土,09：00,18：00,土曜日12：00まで。,,心療内科、精神科、神経内科,0,https://itp.ne.jp/info/378075735178820010/,
340,372013,,香川県,高松市,宮武耳鼻咽喉科クリニック,ミヤタケジビインコウカクリニック,無床診療所,香川県高松市香西南町512-1,,",",087-882-8881,,087-881-0250,,医療法人社団宮武耳鼻咽喉科クリニック,,月火水木金土,09：30,18：00,水曜日14：30から18：00、土曜日13：00から17：00まで。,,耳鼻咽喉科,0,,
341,372013,,香川県,高松市,みやべ耳鼻咽喉科クリニック,ミヤベジビインコウカクリニック,無床診療所,香川県高松市林町478-1,,",",087-889-1133,,,,医療法人社団M.J.C.晃成会,,月火水木金土,09：00,18：30,木曜日12：30まで。土曜日午後14：00から16：00まで。,,アレルギー科、耳鼻咽喉科,0,"http://www.boxroom1.com/miyabecl/
https://itp.ne.jp/info/370855320156461810/",
342,372013,,香川県,高松市,宮本耳鼻咽喉科医院,ミヤモトジビインコウカイイン,無床診療所,香川県高松市花ノ宮町一丁目12-36,,",",087-834-0666,,087-834-2226,,医療法人社団宮本耳鼻咽喉科医院,,月火水木金土,08：30,18：00,木曜日、土曜日13：00まで。,,耳鼻咽喉科,0,http://www.terra.dti.ne.jp/miyamoto-jibika/,
343,372013,,香川県,高松市,みやもとレディースクリニック,ミヤモトレディースクリニック,無床診療所,香川県高松市楠上町二丁目3-15,アルファメディカルモール2F,",",087-806-1177,,087-806-1178,,医療法人社団みやもとレディースクリニック,,月火水木金土,09：30,18：30,木曜日12：30、土曜日午後17：00まで。,,産科、婦人科,0,http://miyamoto-lc.p-kit.com/,
344,372013,,香川県,高松市,三好外科胃腸科医院,ミヨシゲカイチョウカイイン,有床診療所,香川県高松市亀田町226-1,,",",087-847-8888,,087-847-8889,,医療法人社団つくし会,,月火水金土,08：45,18：00,土曜日12：00まで。,,胃腸内科、循環器内科、外科、整形外科、こう門外科、リハビリ科,19,https://itp.ne.jp/info/378606415400000899/,
345,372013,,香川県,高松市,三好外科胃腸科医院,ミヨシゲカイチョウカイイン,有床診療所,香川県高松市香川町浅野1035-1,,",",087-879-8111,,087-879-8112,,医療法人社団康和会,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,胃腸科、外科、整形外科、こう門科、,19（休床中）,,
346,372013,,香川県,高松市,三好内科医院,ミヨシナイカイイン,有床診療所,香川県高松市川島本町431-5,,",",087-848-2288,,087-848-4987,,医療法人社団三好内科医院,,月火水金土,08：30,18：00,土曜日午後診察14：00から16：00まで。,,内科、消化器科、循環器科、小児科、泌尿器科、リハビリ科,19,,
347,372013,,香川県,高松市,むらかわクリニック,ムラカワクリニック,無床診療所,香川県高松市朝日町二丁目2-7,Ｌ-ビルディング2階,",",087-823-2525,,,,村川　和義,,月火木金土,09：00,18：00,土曜日16：00まで。,,児童精神科、小児科、リハビリ科,0,https://murakawa-clinic.com/,
348,372013,,香川県,高松市,むらせ内科クリニック,ムラセナイカクリニック,無床診療所,香川県高松市浜ノ町60-65,,",",087-813-7333,,087-813-7330,,村瀨　知也,,月火水木金土,09：00,16：00,月曜日、水曜日、木曜日、土曜日12：00まで。,,内科、放射線科,0,http://murasenaika.la.coocan.jp/,
349,372013,,香川県,高松市,メディカルカウンセリングルームたなかクリニック,メディカルカウンセリングルームタナカクリニック,無床診療所,香川県高松市亀井町3-8,Aポイントビル4F,",",087-812-5556,,087-812-5607,,田中　和孝,,月火水金土,10：00,19：30,火曜日、土曜日14：00まで。,,心療内科、精神科、神経科,0,http://www.tanaka-clinic.jp/,
350,372013,,香川県,高松市,森岡皮膚科医院,モリオカヒフカイイン,無床診療所,香川県高松市天神前8-14,,",",087-834-1011,,087-834-1013,,医療法人社団森岡皮膚科医院,,月火水木金土,09：00,18：00,木曜日、土曜日13：00まで。,,皮膚科、泌尿器科,0,http://hifumorioka.byoinnavi.jp/pc/,
,,,,,,,,,,,,,,,,,,,,,,,,,
352,372013,,香川県,高松市,森産婦人科医院,モリサンフジンカイイン,有床診療所,香川県高松市瓦町二丁目3-5,,",",087-831-5513,,087-862-2212,,森　卓司,,月火水金土,09：00,18：00,土曜日17：00まで、第３土曜日は休診。,,産科・婦人科,19,http://morisanfujinka.jp/,
353,372013,,香川県,高松市,もりした眼科クリニック,モリシタガンカクリニック,無床診療所,香川県高松市松縄町1140-9,,",",087-865-6633,,,,森下　真実,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,眼科,0,https://morishita-eye.com/,
354,372013,,香川県,高松市,森下クリニック,モリシタクリニック,無床診療所,香川県高松市三条町309-1,ロゼ三条1F,",",087-815-0030,,087-815-0757,,森　卓司,,火木土,08：30,15：00,,,内科、アレルギー科、リハビリ科、麻酔科,0,,
355,372013,,香川県,高松市,森下内科医院,モリシタナイカイイン,無床診療所,香川県高松市瓦町二丁目6-1,,",",087-831-5557,,087-831-5524,,森下　直也,,月火水木金土,09：00,18：00,水曜日、土曜日13：00まで。,,内科、循環器内科,0,http://www.niji.jp/home/morinao/index.html,
356,372013,,香川県,高松市,屋島みちクリニック,ヤシマミチクリニック,無床診療所,香川県高松市高松町2552-2,,",",087-844-3933,,087-844-4002,,医療法人社団英新会,,月火木金土,09：00,18：00,土曜日は午前中のみ。,,心療内科、精神科、神経内科,0,https://yashima-michi.com/,
357,372013,,香川県,高松市,屋島眼科クリニック,ヤシマガンカクリニック,無床診療所,香川県高松市高松町3002-13,,",",087-844-1341,,087-844-8828,,医療法人社団屋島眼科クリニック,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,眼科,0,https://itp.ne.jp/info/378703950131130520/,
358,372013,,香川県,高松市,屋島整形外科医院,ヤシマセイケイゲカイイン,有床診療所,香川県高松市高松町3009-24,,",",087-843-2525,,087-844-4355,,医療法人社団らく楽会,,月火水木金土,09：00,18：00,土曜日12：30まで。,,リウマチ科、整形外科、リハビリ科,19,http://www.yashimaseikei.com/,
359,372013,,香川県,高松市,安原クリニック,ヤスハラクリニック,無床診療所,香川県高松市三条町321-2,,",",087-866-1111,,087-867-7871,,医療法人社団安原クリニック,,月火水木金土,08：30,17：30,木曜日、土曜日12：30まで。,,産科、婦人科、糖尿病内科、代謝内科、腎臓内科、美容外科,0,http://yasuhara-maternity.com/,
360,372013,,香川県,高松市,安元クリニック,ヤスモトクリニック,無床診療所,香川県高松市東山崎町90-6,,",",087-847-1300,,087-847-7721,,医療法人社団安元クリニック,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,皮膚科、泌尿器科,0,http://www.yasumoto-c.com/,
361,372013,,香川県,高松市,ヤノ肛門外科クリニック,ヤノコウモンゲカクリニック,無床診療所,香川県高松市亀井町11-7,,",",087-861-1515,,087-861-1516,,矢野　賢二,,月火水木金土,09：00,18：00,土曜日13：00まで。,,肛門外科,0,http://www.yano-koumonka.com/,
362,372013,,香川県,高松市,矢野皮膚科クリニック,ヤノヒフカクリニック,無床診療所,香川県高松市飯田町17-5,,",",087-881-5885,,087-881-5886,,矢野　充範,,月火水木金土,09：00,18：30,木曜日、土曜日12：30まで。,,アレルギー科、美容外科、皮膚科、美容皮膚科、泌尿器科,0,http://www.yanohifuka.com/,
363,372013,,香川県,高松市,山内クリニック,ヤマウチクリニック,無床診療所,香川県高松市一宮町403-1,,",",087-886-7082,,087-885-7417,,医療法人社団清瞳会,,月火水木金土,09：00,12：30,　,,内科、呼吸器科、循環器科、胃腸科、小児科、放射線科,0,,
364,372013,,香川県,高松市,やまぐちクリニック,ヤマグチクリニック,無床診療所,香川県高松市天神前5-6,高松メディカルモール5Ｆ,",",087-832-5611,,087-832-5631,,医療法人社団耕仁会,,月火水金土,09：00,19：00,土曜日15：00まで。,,心療内科、精神科,0,https://itp.ne.jp/info/372264155114531680/,
365,372013,,香川県,高松市,山崎内科呼吸器科医院,ヤマサキナイカコキュウキカイイン,無床診療所,香川県高松市春日町799-1,,",",087-818-1560,,087-818-1555,,山崎　保寛,,月火水金土,08：30,18：00,土曜日15：00まで。,,内科、呼吸器科、アレルギー科,0,https://clinic-yamasaki.com/,
366,372013,,香川県,高松市,山下医院,ヤマシタイイン,無床診療所,香川県高松市国分寺町国分2155-3,,",",087-874-0077,,087-874-0049,,医療法人社団準星会,,月火水木金土,09：00,18：00,木曜日、土曜日午後休診。,,内科、胃腸科、小児科,0,,
367,372013,,香川県,高松市,山田医院,ヤマダイイン,無床診療所,香川県高松市国分寺町新居3388,,",",087-874-0040,,087-874-0002,,医療法人社団山田医院,,月火水木金土,09：00,18：00,木曜日、土曜日午後休診。,,内科、消化器内科,0,,
368,372013,,香川県,高松市,やまもと医院,ヤマモトイイン,有床診療所,香川県高松市塩上町一丁目4番10号,,",",087-837-0707,,,,医療法人社団隆朗会,,月火水金,09：00,18：00,,,内科、心療内科、精神科,1,,
369,372013,,香川県,高松市,湯浅クリニック,ユアサクリニック,無床診療所,香川県高松市上之町一丁目3-29,,",",087-868-9111,,087-868-9222,,医療法人社団湯浅クリニック,,月火水木金土,09：00,18：00,火曜日、木曜日12：30、土曜日16：00まで。,,内科、皮膚科、泌尿器科,0,http://www.yuasaclinic.jp/,
370,372013,,香川県,高松市,ゆいメンタルクリニック,ユイメンタルクリニック,無床診療所,香川県高松市伏石町2150-5,,",",087-897-7277,,087-897-7377,,鈴木　ゆい,,月火木金土,09：00,17：00,,,心療内科、精神科,0,http://www.yui-mental-cl.com/index.html,
371,372013,,香川県,高松市,湯川クリニック,ユカワクリニック,無床診療所,香川県高松市屋島西町2487-21,,",",087-813-8270,,,,湯川　貴男,,火水木金土,09：30,18：30,土曜日12：00まで。,,放射線科,0,http://yukawa.clinic.jp/,
372,372013,,香川県,高松市,ゆりのき診療室,ユリノキシンリョウシツ,無床診療所,香川県高松市国分寺町国分2090-1,,",",087-874-2217,,087-874-2217,,花岡　正憲,,月火水木金土,19：00,22：00,,,精神科,0,,
373,372013,,香川県,高松市,陽子レディースクリニック,ヨウコレディースクリニック,無床診療所,香川県高松市丸亀町1-1,丸亀町壱番街西館2階,",",087-811-6607,,,,安藤　陽子,,月火木金土,10：00,18：00,土曜日（女性内科）14：00まで。,,女性内科、産婦人科、婦人科,0,http://www.yokoladies.com/,
374,372013,,香川県,高松市,横井クリニック,ヨコイクリニック,無床診療所,香川県高松市丸の内4-9,丸の内ビル2F,",",087-821-2212,,087-821-2352,,横井　一郎,,月火水木金土,09：00,12：.30,第2第4土曜日休診。,,内科、胃腸科,0,,
375,372013,,香川県,高松市,横井内科医院,ヨコイナイカイイン,無床診療所,香川県高松市木太町1663-2,,",",087-862-2222,,087-833-6846,,横井　徹,,月火水木金土,09：00,17：30,木曜日、土曜日13：00まで。,,内科,0,http://wwwb.pikara.ne.jp/yokoimasa/,
376,372013,,香川県,高松市,よこい内科クリニック,ヨコイナイカクリニック,無床診療所,香川県高松市多肥下町359-1,,",",087-869-4511,,087-869-4566,,医療法人社団よこい内科クリニック,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,内科、消化器内科、循環器内科、糖尿病・代謝内科、内分泌内科,0,http://yokoiclinic.main.jp/,
377,372013,,香川県,高松市,横田外科医院,ヨコタゲカイイン,無床診療所,香川県高松市生島町460-1,,",",087-882-7165,,087-870-5098,,医療法人社団横田外科医院,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,外科、麻酔科,0,,
378,372013,,香川県,高松市,吉田眼科,ヨシダガンカ,無床診療所,香川県高松市国分寺町新居1356-1,,",",087-875-1010,,,,医療法人社団優生会,,月火水木金土,09：00,18：00,火曜日、木曜日12：30、土曜日14：30まで。,,眼科,0,https://itp.ne.jp/info/372832933123050790/,
379,372013,,香川県,高松市,吉田内科医院,ヨシダナイカイイン,無床診療所,香川県高松市林町1971-10,,",",087-867-0777,,087-869-9058,,吉田　恭典,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,内科、胃腸科、循環器科,0,,
380,372013,,香川県,高松市,よしまつクリニック,ヨシマツクリニック,無床診療所,香川県高松市西の丸町2-17,,",",087-811-7333,,087-811-7337,,吉松　誠,,月火水木金土,09：00,18：30,火曜日、木曜日、土曜日13：00まで。,,心療内科、精神科、神経内科,0,https://www.yoshimatsu-clinic.jp/,
381,372013,,香川県,高松市,吉村整形外科醫院,ヨシムラセイケイゲカイイン,無床診療所,香川県高松市木太町5055-4,,",",087-866-6666,,087-866-6665,,医療法人社団吉村整形外科醫院,,月火水木金土,09：00,18：00,水曜日12：30まで。,,リウマチ科、整形外科、リハビリ科,0,https://www.yoshimura-seikei.com/,
382,372013,,香川県,高松市,よつばウィメンズクリニック,ヨツバウィメンズクリニック,有床診療所,香川県高松市円座町375-1,,",",087-885-4103,,,,医療法人よつばウイメンズクリニック,,月火水木金土,09：00,18：00,木曜日12：30、土曜日16：00まで。,,産婦人科,17,http://yotsuba-w.jp/,
383,372013,,香川県,高松市,予防協会健康管理センター,ヨボウキョウカイケンコウカンリセンター,無床診療所,香川県高松市伏石町2129-2,,",",087-868-5555,,087-868-6650,,公益財団法人香川県予防医学協会,,月火水木金土,09：00,18：00,,,内科、外科、婦人科,0,http://www.kagawa-yobouigaku.or.jp/,
384,372013,,香川県,高松市,リウマチ・腎臓内科はちまんクリニック,リウマチ・ジンゾウナイカハチマンクリニック,無床診療所,香川県高松市亀岡町11-10,,",",087-862-7878,,087-862-7600,,医療法人社団宅光会,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,内科、人工透析内科、腎臓内科、リウマチ科,0,http://8man-clinic.com/,
385,372013,,香川県,高松市,りつりん皮フ科クリニック,リツリンヒフカクリニック,無床診療所,香川県高松市楠上町二丁目3-15,アルファメディカルモール2F,",",087-813-4112,,,,医療法人社団健悠会,,月火木金土,09：30,18：00,水曜日、土曜日12：30まで。,,皮膚科、美容皮膚科,0,https://ritsurin-d.com/,
386,372013,,香川県,高松市,リッツ美容外科,リッツビヨウゲカ,無床診療所,香川県高松市瓦町二丁目6-14,瓦町スクエアビルド6F,",",087-831-6022,,087-831-6224,,古屋　富治雄,,月火水木金土日,10：00,19：00,,,美容外科,0,http://www.ritz-takamatsu.com/,
387,372013,,香川県,高松市,竜雲メンタルクリニック,リュウウンメンタルクリニック,無床診療所,香川県高松市多肥下町466,,",",087-840-0735,,087-840-0737,,伊庭　永二,,月火木金土,09：00,17：00,,,心療内科、精神科,0,https://itp.ne.jp/info/378148115400000899/,
