"№","名　　　　称",,"開設者","latitude","longitude","所在地","TEL","開設日","あん摩","はり","きゅう","柔整併設","出張業務"
"321","妻鹿　有志","メガ　ユウジ","妻鹿　有志","34.352690","134.124540","香川県高松市屋島西町823-3","087-844-4340","2004/3/8","○",,,,"○"
"322","元木治療院","モトキチリョウイン","元木　崇文","34.278110","134.066479","香川県高松市三谷町1240-19","087-888-5789","1997/4/21","○","○","○","○",
"323","本橋　亜基","モトハシ　アキ","本橋　亜基","34.273852","133.990444","香川県高松市岡本町1726","090-7143-7421","2017/6/1",,"○","○",,"○"
"324","森岡　直史","モリオカ　ナオフミ","森岡　直史","34.335261","134.047665","香川県高松市藤塚町1丁目2-8-102","080-6395-2405","2018/8/25",,"○","○",,"○"
"325","森　圭司","モリ　ケイジ","森　圭司","34.326116","134.066182","香川県高松市上福岡町941-18","087-861-1031","2018/8/11","○","○","○",,"○"
"326","もり鍼灸接骨院","モリシンキュウセッコツイン","森　裕","34.335113","134.011094","香川県高松市鶴市町974-3","087-881-0437","2006/6/2","○","○","○","○",
"327","森西物療院","モリニシブツリョウイン","森西　茂","34.249915","134.034935","香川県高松市香川町浅野1303-5","087-879-3073","1993/4/1","○","○","○",,
"328","森はりきゅう療院","モリハリキュウリョウイン","森　達雄","34.301999","133.990875","香川県高松市御厩町1293-11","087-885-0032","1970/4/15","○","○","○",,
"329","森本鍼灸院","モリモトシンキュウイン","森本　幸洋","34.337322","134.107884","香川県高松市高松町6-40","087-841-8548","1992/7/23",,"○","○",,
"330","薬師鍼灸室","ヤクシシンキュウシツ","野田　大澄","34.341176","133.961264","香川県高松市中山町1504-30","087-882-4022","2008/11/1","○","○","○",,
"331","八木治療院","ヤギチリョウイン","(有)ブレインシンフォニー","34.334315","134.080300","香川県高松市木太町2565-1","087-802-3034","2018/9/10","○","○","○",,"○"
"332","屋島鍼灸治療院","ヤシマシンキュウチリョウイン","中野　勝之","34.348626","134.101175","香川県高松市屋島西町1138-38","090-2891-1969","2011/10/6","○","○","○",,
"333","ヤシマ鍼灸院","ヤシマシンキュウイン","濱﨑　眞","34.350037","134.101099","香川県高松市高松町2373-2","087-843-9874","2018/10/11","○","○","○","○",
"334","やす鍼灸治療院","ヤス　シンキュウチリョウイン","細谷　康利","34.318660","134.080768","香川県高松市木太町4029-1","087-813-7863","2015/4/1",,"○","○",,
"335","やない鍼灸治療院","ヤナイ　シンキュウチリョウイン","柳井　ちひろ","34.239054","134.006743","香川県高松市香南町横井1038-1","070-5351-5612","2022/12/3",,"○","○",,
"336","矢野指圧治療院","ヤノシアツチリョウイン","矢野　武","34.333889","134.107102","香川県高松市高松町47-6","087-841-4950","1978/10/22","○","○","○",,
"337","やの治療院","ヤノ　チリョウイン","矢野　久代","34.336198","134.147307","香川県高松市牟礼町大町1359-1","087-845-6683","2011/10/1","○","○","○",,
"338","やまうち鍼灸院","ヤマウチシンキュウイン","山内　孝","34.337685","134.147650","香川県高松市牟礼町大町833-5","087-845-1940","2003/3/27",,"○","○",,
"339","山口整体療術院","ヤマグチセイタイリョウジュツイン","山口　功次郎","34.284066","134.096495","香川県高松市小村町247-21","087-848-6817","2017/12/1","○",,,,
"340","山口　圭介","ヤマグチ　ケイスケ","山口　圭介","34.343497","134.098941","香川県高松市屋島西町1755-4","087-843-3060","2008/4/7",,"○",,,"○"
"341","山口　孝","ヤマグチ　タカシ","山口　孝","34.258559","134.044018","香川県高松市香川町浅野2947-17","090-2929-6937","2019/3/5","○",,,,"○"
"342","山田　悠美子","ヤマダ　ユウミコ","山田　悠美子","34.302594","134.057160","香川県高松市多肥下町1521-4","090-6284-5306","2018/3/26",,"○","○",,
"343","山地鍼灸院","ヤマジシンキュウイン","山地　健吾","34.333139","134.060864","香川県高松市上福岡町1286-4","087-861-3921","1991/11/7","○","○","○",,
"344","山下鍼灸治療院","ヤマシタシンキュウシンキュウチリョウイン","山下　浩","34.313552","134.026196","香川県高松市松並町660-2","087-867-1416","1988/7/29","○","○","○","○",
"345","山下鍼・灸治療院","ヤマシタハリ・キュウチリョウイン","山下　文男","34.302378","134.082031","香川県高松市六条町1029","080-2991-5653","2007/5/24","○","○","○",,
"346","山室　武士","ヤマムロ　タケシ","山室　武士","34.341547","134.066343","香川県高松市松福町二丁目9-24-201","090-3337-7813","2014/8/15",,"○","○",,"○"
"347","山本　ひろみ","ヤマモト　ヒロミ","山本　ひろみ",,,"香川県高松市","090-8979-0110","2008/9/4","○","○","○",,"○"
"348","ゆう鍼灸整骨院","ユウシンキュウセイコツイン","樫　裕二","34.322253","134.074071","香川県高松市木太町1556-2","087-861-6000","2004/4/5",,"○","○","○",
"349","悠大針灸治療院","ユウダイハリキュウチリョウイン","山本　雄仁","34.323385","134.062581","香川県高松市今里町二丁目29-20","087-861-0861","2010/12/20",,"○","○",,
"350","柚友","ユズユウ","合同会社　柚友","34.353387","133.988466","香川県高松市植松町15-6","087-880-5014","2020/10/26",,"○","○",,
"351","弓田鍼灸院","ユミタシンキュウイン","(株)弓田鍼灸院","34.327264","134.046779","香川県高松市花ノ宮町一丁目12-3","087-837-6604","2015/9/8",,"○","○",,
"352","横井　恭平","ヨコイ　キョウヘイ","横井　恭平",,,"香川県高松市香南町西庄2230-2","080-1996-7481","2012/6/19",,"○","○",,"○"
"353","横田接骨院","ヨコタセッコツイン","横田　親徳","34.271721","134.021601","香川県高松市香川町大野2075-17","087-885-2622","1987/6/3",,"○","○","○",
"354","横山はり院","ヨコヤマハリイン","横山　豊","34.312384","134.024344","香川県高松市勅使町1285-1","087-866-1034","1976/6/8","○","○","○",,
"355","横山　博史","ヨコヤマ　ヒロシ","横山　博史",,,"香川県高松市西町","090-3615-2380","2020/10/24",,"○","○",,"○"
"356","吉井はり療院","ヨシイハリリョウイン","吉井　広彦　","34.288521","134.046850","香川県高松市出作町497-5","087-889-2826","1999/7/1","○","○","○",,
"357","吉鍼灸治療院","ヨシシンキュウチリョウイン","岡本　吉史","34.327576","134.046617","香川県高松市栗林町一丁目15-10","−−−−−","2006/6/2",,"○","○",,
"358","よしだ鍼灸整骨院","ヨシダシンキュウセイコツイン","吉田　将之","34.303532","134.090254","香川県高松市東山崎町87-1　DOLLIS101号","087-847-1271","2007/8/6",,"○","○","○",
"359","吉田はり灸治療院","ヨシダハリキュウチリョウイン","吉田　和修","34.324060","134.118320","香川県高松市高松町900","087-843-6455","2011/8/15","○","○","○",,
"360","吉本治療院","ヨシモトチリョウイン","吉本　勝美","34.332822","134.066311","香川県高松市上福岡町732-8","087-862-6838","2010/6/1","○",,,,
"361","よつば鍼灸院","ヨツバシンキュウイン","森　良樹","34.334273","134.083787","香川県高松市木太町2813-1","087-813-1854","2022/5/30","○","○","○",,
"362","楽らくあんま","ラクラク　アンマ","三谷　隆子","34.342224","134.097069","香川県高松市屋島西町1491-5","087-841-2824","2013/5/11","○","○",,,
"363","りく治療院","リク　チリョウイン","住田　隆則","34.237657","134.010989","香川県高松市香南町由佐1382-6","090-2468-8053","2017/11/11","○","○","○",,"○"
"364","栗林鍼灸整骨院","リツリンシンキュウセイコツイン","島　英治","34.332880","134.053606","香川県高松市藤塚町三丁目16-4","087-835-2933","2008/1/1",,"○","○","○",
"365","リハビリ治療院","リハビリチリョウイン","根津　武雄","34.332844","134.053617","香川県高松市三名町717-1","087-865-1588","1998/8/15","○","○","○",,
"366","竜治療院","リュウチリョウイン","公文　陵二","34.295339","134.037071","香川県高松市多肥上町195-2","090-4502-6661","2017/4/25","○","○","○",,
"367","良久庵鍼灸院","リョウキュウアン　シンキュウイン","株式会社EARCS 代表取締役 中川郁也","34.282079","134.047302","香川県高松市仏生山町505-6","080-6319-9744","2024/5/27",,"○","○",,
"368","ロコモK.O鍼灸院","ロコモコシンキュウイン","株式会社たかせんテレコム","34.276030","134.102505","香川県高松市十川西町359-1","087-848-6511","2021/9/16","○","○","○",,
"369","渡邉あんま・マッサージ治療院","ワタナベアンマ・マッサージチリョウイン","渡邉　裕介","34.321486","134.006141","香川県高松市飯田町1233-12","090-4504-8817","2017/10/1","○","○","○",,
"370","渡辺　定","ワタナベ　サダ","渡辺　定","34.246350","133.990694","香川県高松市香南町西庄396-8","090-1004-1237","2018/2/1","○",,,,"○"
"371","渡邊　康次","ワタナベ　ヤスツギ","渡邊　康次","34.343612","134.050588","香川県高松市御坊町10-3","090-1015-0488","2022/7/22","○","○","○",,"○"
"372","和田　哲治","ワダ　テツジ","和田　哲治","34.305355","134.039934","香川県高松市太田下町2084-3　デュオ太田C棟","090-4500-5928","2016/11/1","○","○","○",,"○"
