"施設名称１","施設名称２","施設名称かな","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者名","営業者名かな","業種","業態","許可番号","初回許可年月日","許可開始日","許可終了日"
"ローソン","多肥下町店","ローソンタヒシモマチテン","761-8075","高松市多肥下町１５３０−１",,"087-868-5263  ","松本　靖喜","マツモト　ヤスキ","飲食店営業","その他","第10404-3040845号","R04.09.01","R04.09.01","R09.08.31"
"餃子酒場　まさし",,"ギョウザサカバ　マサシ","760-0045","高松市古馬場町１−１１","春日河北古馬場ビル１０２","087-851-6067  ","宮脇　仁志","ミヤワキ　マサシ","飲食店営業","居酒屋・焼肉","第10107-3040842号","R04.09.01","R04.09.01","R09.08.31"
"Ｐａｔｉｓｓｅｒｉｅ　Ｆｉｏｒｅｔｔｏ",,"パティスリーフィオレット","760-0080","高松市木太町３２３４−８",,"087-813-2045  ","髙嶋　大樹","タカシマ　タツキ","菓子製造業","菓子","第20101-3040843号","R04.09.01","R04.09.01","R09.08.31"
"安兵衛",,"ヤスベエ","760-0004","高松市西宝町１−１７−４１","北海ビル１階","087-837-5333  ","株式会社Ｋｅｎ’ s　Ｋｉｔｃｈｅｎ","ケンズキッチン","飲食店営業","居酒屋・焼肉","第10107-3040844号","R04.09.01","R04.09.01","R09.08.31"
"デイリーヤマザキ","高松伏石町南店","デイリーヤマザキタカマツフセイシチョウミナミテン","761-8071","高松市伏石町２１３５−１５",,"087-869-9011  ","山崎製パン株式会社","ヤマザキセイパンカブシキガイシャ","飲食店営業","その他","第10404-2020399号","R02.07.21","R02.08.01","R07.08.31"
"デイリーヤマザキ","高松伏石町南店","デイリーヤマザキタカマツフセイシチョウミナミテン","761-8071","高松市伏石町２１３５−１５",,"087-869-9011  ","山崎製パン株式会社","ヤマザキセイパンカブシキガイシャ","菓子製造業","パン","第20102-2020400号","R02.07.21","R02.08.01","R07.08.31"
"ＰＡＲＬＯＲ　ＥＭＥＲＡＬＤ",,"パーラーエメラルド","761-0112","高松市屋島中町４２９",,"087-887-9741  ","池畑　裕子","イケハタ　ユウコ","飲食店営業","一般","第10101-3040887号","R04.09.01","R04.09.01","R09.08.31"
"魚虎旅館",,"ウオトラリョカン","761-1612","高松市塩江町安原上東４４２−２",,"087-893-0121  ","松岡　耕三","マツオカ　コウゾウ","飲食店営業","旅館・ホテル","第10301-3040869号","R04.09.01","R04.09.01","R09.08.31"
"ダントツラーメン岡山一番店","高松観光通","ダントツラーメンオカヤマイチバンテン　タカマツカンコウドオリ","760-0055","高松市観光通１−２−８","吉川ビル１階","087-861-2099  ","株式会社八蔵","ヤグラ","飲食店営業","めん","第10104-3040871号","R04.09.01","R04.09.01","R09.08.31"
"専門学校　穴吹パティシエ福祉カレッジ",,"センモンガッコウ　アナブキパティシエフクシカレッジ","760-0021","高松市西の丸町１４−１０",,"087-823-5566  ","学校法人穴吹学園","アナブキガクエン","菓子製造業","菓子","第20101-3040849号","R04.09.01","R04.09.01","R09.08.31"
"専門学校　穴吹パティシエ福祉カレッジ",,"センモンガッコウ　アナブキパティシエフクシカレッジエ","760-0021","高松市西の丸町１４−１０",,"087-823-5566  ","学校法人穴吹学園","アナブキガクエン","飲食店営業","喫茶","第10105-3040850号","R04.09.01","R04.09.01","R09.08.31"
"ローソン","高松太田下町店","ローソンタカマツオオタシモマチテン","761-8073","高松市太田下町３００１−１",,"087-868-9799  ","櫃本　圭一","ヒツモト　ケイイチ","飲食店営業","その他","第10404-3040916号","R04.08.29","R04.09.01","R09.08.31"
"あいきえん",,"アイキエン","760-0091","高松市男木町２−７",,,"山口　佑太","ヤマグチ　ユウタ","飲食店営業","露店：定置","第10406-3040067号","R04.04.28","R04.04.28","R09.05.31"
"ＣＨＡＩＮＯＮ",,"シェノン","760-0045","高松市古馬場町９−２４","ＡＫビルⅤ　４階北","              ","池下　千香","イケシタ　チカ","飲食店営業","飲み屋","第10401-3040920号","R04.08.29","R04.08.29","R09.08.31"
"お好み焼　多福",,"タフク","760-0040","高松市片原町３−１９",,"087-821-5797  ","鴨田　町子","カモダ　マチコ","飲食店営業","その他","第10404-3040873号","R04.09.01","R04.09.01","R09.08.31"
"路地の京　四合院",,"シゴウイン","760-0062","高松市塩上町３−２０−６",,"087-837-0818  ","有限会社　ラタンハウス","ラタンハウス","飲食店営業","一般","第10101-3040870号","R04.09.01","R04.09.01","R09.08.31"
"ふじのや",,"フジノヤ","769-0101","高松市国分寺町新居１６３８−１",,"087-874-0125  ","藤原　セイ子","フジハラ　セイコ","飲食店営業","一般","第10101-3040926号","R04.09.01","R04.09.01","R09.08.31"
"ふじのや",,"フジノヤ","769-0101","高松市国分寺町新居１６３８−１",,"087-874-0125  ","藤原　セイ子","フジハラ　セイコ","そうざい製造業","そうざい","第22800-3040938号","R04.08.30","R04.08.30","R09.08.31"
"エビスヤ本店",,"エビスヤホンテン","760-0040","高松市片原町２−２",,"087-821-0601  ","有限会社エビスヤ本店","エビスヤ","飲食店営業","喫茶","第10105-3040855号","R04.09.01","R04.09.01","R09.08.31"
"エビスヤ本店",,"エビスヤホンテン","760-0040","高松市片原町２−２",,"087-821-4030  ","有限会社エビスヤ本店","エビスヤホンテン","菓子製造業","菓子","第20101-3040856号","R04.09.01","R04.09.01","R09.08.31"
"福",,"フク","760-0092","高松市女木町６２−１",,"              ","福井　信子","フクイ　ノブコ","飲食店営業","一般","第10101-3040857号","R04.09.01","R04.09.01","R09.08.31"
"ぎょうてん",,"ギョウテン","760-0080","高松市木太町５０３７−８",,"087-865-1181  ","株式会社さのや","サノヤ","飲食店営業","一般","第10101-3040859号","R04.09.01","R04.09.01","R09.08.31"
"吾里丸うどん２",,"ゴリマルウドンニ","760-0005","高松市宮脇町１−３−１２",,"              ","渡辺　錦司","ワタナベ　キンジ","飲食店営業","めん","第10104-3040890号","R04.09.01","R04.09.01","R09.08.31"
"ぎょうてん",,"ギョウテン","760-0080","高松市木太町５０３７−８",,"087-865-1181  ","株式会社さのや","サノヤ","水産製品製造業","水産製品","第50201-3040860号","R04.09.01","R04.09.01","R09.08.31"
"ＤＥＬＴＡ　ＭＡＲＫＥＴ",,"デルタ　マーケット","760-0048","高松市福田町６−５","中山ビル２階","087-823-0375  ","藤原　利彦","フジワラ　トシヒコ","飲食店営業","飲み屋","第10401-3040858号","R04.09.01","R04.09.01","R09.08.31"
"吾里丸うどん２",,"ゴリマルウドンニ","760-0005","高松市宮脇町１−３−１２",,"              ","渡辺　錦司","ワタナベ　キンジ","麺類製造業","めん","第22701-3040891号","R04.09.01","R04.09.01","R09.08.31"
"居酒屋　だん",,"ダン","760-0017","高松市番町２−１７−８",,"087-813-0058  ","株式会社えんプランニング","エンプランニング","飲食店営業","居酒屋・焼肉","第10107-3040867号","R04.09.01","R04.09.01","R09.08.31"
"おまかせ話食楽市",,"オマカセワショクラクイチ","761-8075","高松市多肥下町１５５２−１",,"087-865-8773  ","有限会社ヤマセ","ヤマセ","飲食店営業","居酒屋・焼肉","第10107-3040861号","R04.09.01","R04.09.01","R09.08.31"
"屋島カントリークラブレストラン",,"ヤシマカントリークラブ","761-0122","高松市牟礼町大町２５０８",,"087-845-3111  ","株式会社チェリーゴルフ屋島","チェリーゴルフヤシマ","飲食店営業","一般","第10101-3040862号","R04.09.01","R04.09.01","R10.08.31"
"さぬきうどん株式会社",,"サヌキウドン","761-1705","高松市香川町川東下６１９−１",,"087-879-4396  ","さぬきうどん株式会社","サヌキウドン","麺類製造業","めん","第22701-3040865号","R04.09.01","R04.09.01","R09.08.31"
"Ｍｕｓｉｃ　Ｂａｒ　ＲＵＦＦＨＯＵＳＥ",,"ミュージックバー　ラフハウス","760-0054","高松市常磐町１−７−３","ＢＳＣビル １階北側",,"今城　宣弥","コンジョウ　ノブヤ","飲食店営業","飲み屋","第10401-3040900号","R04.08.24","R04.08.24","R09.08.31"
"ファミリーマート","香南町由佐店","ファミリーマートコウナンチョウユサテン","761-1402","高松市香南町由佐１８５−１",,"087-879-5119  ","株式会社Ｆｏｒｔｈ　Ｃｏｍｐａｎｙ","フォースカンパニー","菓子製造業","パン","第20102-2020439号","R02.07.28","R02.07.31","R07.08.31"
"おりおん",,"オリオン","760-0040","高松市片原町６−３",,"087-823-2577  ","平山　隆子","ヒラヤマ　タカコ","飲食店営業","喫茶","第10105-3040883号","R04.09.01","R04.09.01","R09.08.31"
"赤い屋根のカフェ",,"アカイヤネノカフェ","761-8042","高松市御厩町１１２６−２",,,"牟禮　順子","ムレ　ジュンコ","飲食店営業","喫茶","第10105-3040885号","R04.09.01","R04.09.01","R09.08.31"
"露店　自治会",,"ロテン　ジチカイ","        ","高松市一円",,"              ","壺井　忠義","ツボイ　タダヨシ","飲食店営業","露店：仮設","第10407-3040894号","R04.09.01","R04.09.01","R09.08.31"
"月城苑",,"ゲツジョウエン","760-0021","高松市西の丸町２−１６","１階","087-822-3650  ","石本　弘","イシモト　ヒロシ","飲食店営業","居酒屋・焼肉","第10107-3040893号","R04.09.01","R04.09.01","R09.08.31"
"鮎滝カントリークラブ",,"アユタキカントリー","761-1707","高松市香川町東谷２５９−１","クラブハウス内２階","087-897-1111  ","宇高国道フェリー株式会社","ウタカコクドウフェリー","飲食店営業","一般","第10101-3040895号","R04.09.01","R04.09.01","R10.08.31"
"ゆたぽん",,"ユタポン","760-0063","高松市多賀町１−２−１",,"087-862-1887  ","大東　英輔","オオヒガシ　エイスケ","そうざい製造業","そうざい","第22800-3040897号","R04.09.01","R04.09.01","R09.08.31"
"ポポラーレ","栗林本店","ポポラーレ　リツリンホンテン","761-8062","高松市室新町１０３２−６",,"087-867-9105  ","近藤　弘子","コンドウ　ヒロコ","飲食店営業","喫茶","第10105-3040896号","R04.09.01","R04.09.01","R09.08.31"
"ポポラーレ","栗林本店","ポポラーレ　リツリンホンテン","761-8062","高松市室新町１０３２−６",,"087-867-9105  ","近藤　弘子","コンドウ　ヒロコ","アイスクリーム類製造業","アイスクリーム","第21301-3030418号","R03.09.01","R03.09.01","R08.08.31"
"スターバックスコーヒー","高松伏石店","スターバックスコーヒータカマツフセイシテン","761-8071","高松市伏石町２１４９−８",,"087-814-7333  ","スターバックスコーヒージャパン株式会社","スターバックスコーヒージャパン","飲食店営業","喫茶","第10105-3040971号","R04.09.09","R04.09.09","R09.11.30"
"やきとり竜鳳",,"ヤキトリリュウホウ","        ","高松市一円",,"028-305-3133  ","株式会社全国チェーン竜鳳","ゼンコクチェーンリュウホウ","飲食店営業","露店：仮設","第10407-3040898号","R04.08.24","R04.08.24","R09.08.31"
"ギョーザベース",,"ギョーザベース","760-0041","高松市百間町６−２","谷本ビル１階","              ","山本　義訓","ヤマモト　ヨシノリ","飲食店営業","居酒屋・焼肉","第10107-3040936号","R04.08.31","R04.08.31","R09.08.31"
"焼肉センター　藤雅",,"ヤキニクセンター　フジマサ","760-0080","高松市木太町１８４９",,,"有本　友香理","アリモト　ユカリ","飲食店営業","居酒屋・焼肉","第10107-3040942号","R04.08.31","R04.09.01","R09.08.31"
"２９",,"トゥーナイト","760-0044","高松市御坊町２−１","２階","087-821-0029  ","岡村　浩二","オカムラ　コウジ","飲食店営業","飲み屋","第10401-3040903号","R04.09.01","R04.09.01","R09.08.31"
"嶺北麻飯店",,"レイホクマーハンテン","        ","高松市一円",,"              ","有限会社藤川工務店","フジカワコウムテン","飲食店営業","車","第10410-3041015号","R04.09.30","R04.09.30","R09.11.30"
"軽食屋　ｍｉｔｓｕｇｏ",,"ケイショクヤ","        ","高松市一円",,,"大西　加代","オオニシ　カヨ","飲食店営業","車","第10410-3040907号","R04.09.01","R04.09.01","R09.08.31"
"有限会社欧洲屋",,"オウシュウヤ","760-0045","高松市古馬場町１３−２３",,"087-822-2008  ","有限会社欧洲屋","オウシュウヤ","飲食店営業","喫茶","第10105-3040908号","R04.09.01","R04.09.01","R09.08.31"
"ファミリーマート","高松太田店","ファミリーマート　タカマツオオタテン","761-8074","高松市太田上町１１１４",,"087-864-5230  ","有限会社藤沢一男酒類販売店","フジサワカズオシュルイハンバイテン","飲食店営業","その他","第10404-3040910号","R04.09.01","R04.09.01","R09.08.31"
"日本通運株式会社","高松支店","ニホンツウウンカブシキガイシャ　タカマツシテン","760-0065","高松市朝日町６−８−３",,"087-821-2323  ","コカ・コーラボトラーズジャパン株式会社","コカコーラボトラーズジャパン","調理の機能を有する自動販売機（要許可）","自動販売機","第50100-3040914号","R04.09.01","R04.09.01","R09.08.31"
"ハングオーバー",,"ハングオーバー","760-0045","高松市古馬場町１３−１６","エルパセオビル２階２０１・２０２号室","              ","合同会社ハングオーバー","ゴウドウガイシャハングオーバー","飲食店営業","飲み屋","第10401-3040937号","R04.08.31","R04.08.31","R09.08.31"
"株式会社しおのえ",,"シオノエ","761-1611","高松市塩江町安原上７４５",,"087-893-1100  ","株式会社しおのえ","シオノエ","食肉処理業","食肉処理","第21501-3040918号","R04.09.01","R04.09.01","R09.08.31"
"株式会社しおのえ",,"シオノエ","761-1611","高松市塩江町安原上７４５",,"087-893-1100  ","株式会社しおのえ","シオノエ","食肉製品製造業","食肉製品","第21700-3040919号","R04.09.01","R04.09.01","R09.08.31"
"コトリ　コワーキング＆ホステル高松",,"コトリ　コワーキングアンドホステルタカマツ","760-0058","高松市東田町１−13",,"087-802-1490  ","株式会社コトバス・コミュニケーションズ","コトバスコミュニケーションズ","飲食店営業","喫茶","第10105-3040956号","R04.09.07","R04.09.07","R09.11.30"
"有限会社あきやま",,"アキヤマ","760-0011","高松市浜ノ町５０−２１",,"087-851-3007  ","有限会社あきやま","アキヤマ","飲食店営業","一般","第10101-3040917号","R04.09.01","R04.09.01","R09.08.31"
"小西フードセンター",,"コニシフードセンター","761-0321","高松市前田西町７７−７",,"              ","小西　和彦","コニシ　カズヒコ","飲食店営業","露店：定置","第10406-3040922号","R04.08.30","R04.08.30","R09.08.31"
"しんぺいうどん",,"シンペイウドン","760-0053","高松市田町１３−６",,"087-834-6334  ","米津　眞平","ヨネツ　シンペイ","飲食店営業","めん","第10104-3040921号","R04.09.01","R04.09.01","R09.08.31"
"ＭＩＸＢＡＲ　Ｅｖｅｒ",,"ミックスバー　エバー","760-0045","高松市古馬場町１４−５","パリスビル３階３０２","              ","水本　将博","ミズモト　マサヒロ","飲食店営業","飲み屋","第10401-3040975号","R04.09.13","R04.09.13","R09.11.30"
"守里会看護福祉専門学校　女子寮",,"シュリカイカンゴフクシセンモンガッコウジョシリョウ","761-8031","高松市郷東町６２８−５",,"              ","ＭＩＮＯＹＡＭＡ　ＦＯＯＤＳ株式会社","ミノヤマフーズ","飲食店営業","給食","第10106-1261479号","H27.03.30","R02.06.01","R07.05.31"
"ショートステイセンター　一樹",,"ショートステイセンター　イチジュ","761-8012","高松市香西本町１７−９",,"087-813-3318  ","ＭＩＮＯＹＡＭＡ　ＦＯＯＤＳ株式会社","ミノヤマフーズ","飲食店営業","給食","第10106-2020739号","R02.11.11","R02.11.11","R08.11.30"
"快活ＣＬＵＢ","高松中央通り店","カイカツクラブ　タカマツチュウオウドオリテン","761-8054","高松市東ハゼ町１２−９",,"087-814-9788  ","株式会社快活フロンティア","カイカツフロンティア","飲食店営業","喫茶","第10105-2020133号","R02.05.08","R02.05.08","R07.05.31"
"特別養護老人ホーム　守里苑",,"シュリエン","761-0121","高松市牟礼町牟礼２３２１−１４",,"087-845-4417  ","ＭＩＮＯＹＡＭＡ　ＦＯＯＤＳ株式会社","ミノヤマフーズ","飲食店営業","給食","第10106-1311148号","R01.11.15","R01.11.15","R07.11.30"
"南果",,"ナンカ","769-0102","高松市国分寺町国分２９９１",,,"長　晶子","オサ　アキコ","菓子製造業","菓子","第20101-3040943号","R04.09.02","R04.09.02","R09.11.30"
"欽ちゃんの手羽先",,"キンチャンノテバサキ","        ","高松市一円",,"              ","中西　一欽","ナカニシ　カズヨシ","飲食店営業","車","第10410-3040923号","R04.08.30","R04.08.30","R09.08.31"
"有限会社髙松美山ホテル",,"タカマツビザンホテル","760-0005","高松市宮脇町２−３２−４０",,"087-831-7185  ","有限会社髙松美山ホテル","タカマツビザンホテル","飲食店営業","旅館・ホテル","第10301-3040924号","R04.09.01","R04.09.01","R09.08.31"
"有限会社髙松美山ホテル",,"タカマツビザンホテル","760-0005","高松市宮脇町２−３２−４０",,"087-831-7185  ","有限会社髙松美山ホテル","タカマツビザンホテル","飲食店営業","旅館・ホテル","第10301-3040925号","R04.09.01","R04.09.01","R09.08.31"
"惣菜居酒屋　まほろば",,"マホロバ","760-0052","高松市瓦町１−１１−１２","浜田興産ビル１階","087-831-0822  ","賴富　アイ子","ヨリトミ　アイコ","飲食店営業","一般","第10101-3030220号","R03.09.01","R03.09.01","R08.08.31"
"日清医療食品株式会社","五番丁医院事業所","ニッシンイリョウショクヒンカブシキガイシャ　ゴバンチョウビョウインジギョウショ","760-0017","高松市番町２−４−１６",,"087-851-9750  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-3030828号","R03.12.01","R03.12.01","R08.11.30"
"共生波動科学研究所",,"キョウセイハドウカガクケンキュウショ","761-1401","高松市香南町岡６６−４",,,"中村　能造","ナカムラ　ヨシゾウ","清涼飲料水製造業","清涼飲料水","第23100-3040934号","R04.09.01","R04.09.01","R09.08.31"
"ＢＩＳＴＲＯ　Ｊｅ　ｐａｒｓ",,"ジュパール","760-0028","高松市鍛冶屋町１−３","Ｋ’ｓギャラリー２階","087-810-1283  ","橋谷　翼","ハシタニ　ツバサ","飲食店営業","一般","第10101-3040935号","R04.09.01","R04.09.01","R09.08.31"
"焼肉　和牛　いちえ",,"ヤキニク　ワギュウ　イチエ","760-0029","高松市丸亀町１２−５",,"087-813-0291  ","株式会社リリカ","リリカ","食肉販売業","食肉販売","第21601-3040948号","R04.09.07","R04.09.07","R09.11.30"
"ハレデリ",,"ハレデリ","760-0071","高松市藤塚町１−１２−４",,"087-802-2586  ","株式会社ハル","ハル","そうざい製造業","そうざい","第22800-3040978号","R04.09.14","R04.09.14","R09.11.30"
"ハレデリ",,"ハレデリ","760-0071","高松市藤塚町１−１２−４",,"087-802-2586  ","株式会社ハル","ハル","菓子製造業","菓子","第20101-3040979号","R04.09.14","R04.09.14","R09.11.30"
"日清医療食品株式会社","虹の里　事業所","ニッシンイリョウショクヒン　ニジノサト　ジギョウショ","760-0073","高松市栗林町１−３−２４","６階","087-862-1722  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-1310792号","R01.09.19","R01.10.01","R06.11.30"
"日清医療食品株式会社","おさか脳神経外科病院事業所","ニッシンイリョウショクヒン　オサカノウシンケイゲカビョウインジギョウショ","761-8083","高松市三名町３７８−１",,"087-813-6990  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-1311517号","R02.03.24","R02.03.24","R07.05.31"
"日清医療食品株式会社","高松赤十字病院事業所","ニッシンショクヒン　タカマツセキジュウジビョウインジギョウショ","760-0017","高松市番町４−１−３",,"087-813-4121  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-2020970号","R03.02.08","R03.02.08","R09.02.28"
"日清医療食品株式会社","高松市立みんなの病院事業所","ニッシンイリョウショクヒンタカマツ　シリツミンナノビョウインジギョウショ","761-8078","高松市仏生山町甲８４７−１",,"087-816-7112  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-2020981号","R03.02.10","R03.02.10","R09.02.28"
"日清医療食品株式会社","おさか回復期病棟事業所","ニッシンイリョウショクヒン　オサカカイフクキビョウトウジギョウショ","761-8083","高松市三名町３７８−１",,"087-885-4837  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-2020982号","R03.02.10","R03.02.10","R09.02.28"
"日清医療食品株式会社","オサカ病院事業所","ニッシンイリョウショクヒン　オサカビョウインジギョウショ","761-1703","高松市香川町浅野２７２",,"087-888-0415  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-2020983号","R03.02.10","R03.02.10","R09.02.28"
"ファミリーロッジ旅籠屋","高松店","ファミリーロッジハタゴヤタカマツテン","761-8057","高松市田村町１２６５−１",,"087-867-8858  ","株式会社旅籠屋","ハタゴヤ","飲食店営業","旅館・ホテル","第10301-3030320号","R03.09.01","R03.09.01","R08.08.31"
"日清医療食品株式会社","ケアハウス弘恩事業所","ニツシンイリョウショクンカブシキガイシャ　ケアハウスコウオンジギョウショ","761-0321","高松市前田西町６８３−４",,"087-847-9510  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-1240349号","H24.06.25","H30.09.01","R06.08.31"
"日清医療食品株式会社","なかまの里事業所","ニッシンイリョウショクヒン　ナカマノサトジギョウショ","769-0104","高松市国分寺町新名２２０９−２０",,"087-870-6520  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-1210424号","H21.07.23","R01.09.01","R06.08.31"
"日清医療食品株式会社","りつりん病院事業所","ニッシンイリョウショクヒン　リツリンビョウインジギョウショ","760-0073","高松市栗林町３−５−９",,"087-832-0151  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-1201140号","H21.02.01","R03.03.01","R09.02.28"
"日清医療食品株式会社","香南苑事業所","ニッシンイリョウショクヒン　コウナンエンジギョウショ","761-1405","高松市香南町池内７０１",,"087-879-5150  ","日清医療食品株式会社","ニッシンイリョウショクヒン","飲食店営業","給食","第10106-1221082号","H23.01.26","R03.03.01","R08.02.28"
"ミールラボ高松　鹿角",,"ミールラボタカマツ　カノツノ","761-8082","高松市鹿角町２６９−２","ゆうゆう鹿角","087-813-0232  ","ミールラボラトリー株式会社","ミールラボラトリーカブシキガイシャ","飲食店営業","給食","第10106-3040958号","R04.09.08","R04.09.08","R09.11.30"
"ミールラボ高松　春日",,"ミールラボタカマツ　カスガ","761-0101","高松市春日町８４２−１","ゆうゆう春日","087-802-8383  ","ミールラボラトリー株式会社","ミールラボラトリーカブシキガイシャ","飲食店営業","給食","第10106-3040965号","R04.09.09","R04.09.09","R09.11.30"
"ミールラボ高松　上林",,"ミールラボタカマツ　カミバヤシ","761-0302","高松市上林町７０５−１","ゆうゆう高松","087-802-8211  ","ミールラボラトリー株式会社","ミールラボラトリーカブシキガイシャ","飲食店営業","給食","第10106-3040951号","R04.09.07","R04.09.07","R09.11.30"
"こかげの森",,"コカゲノモリ","761-0111","高松市屋島東町５１７−２",,,"佐藤　真理子","サトウ　マリコ","飲食店営業","喫茶","第10105-3040966号","R04.09.12","R04.09.12","R09.11.30"
"ｂｏｎｏ　ｃｕｒｒｙ　ｓｔａｎｄ",,"ボノカレースタンド","761-0111","高松市屋島東町５１７−２",,,"池田　真由美","イケダ　マユミ","飲食店営業","喫茶","第10105-3040967号","R04.09.12","R04.09.12","R09.11.30"
"株式会社キウイボム",,"キウイボム","761-1402","高松市香南町由佐７８−２",,"087-879-2252  ","株式会社キウイボム","キウイボム","そうざい製造業","そうざい","第22800-3040955号","R04.09.08","R04.09.08","R09.11.30"
"骨付鳥　ザ・トリフターズ　高松店",,"ホネツキドリ　ザトリフターズ　タカマツテン","760-0053","高松市田町３−２０",,"              ","株式会社とりビアー","トリビアー","飲食店営業","居酒屋・焼肉","第10107-3040985号","R04.09.16","R04.09.16","R09.11.30"
"ＪｕｎｇｌｅＢａｒ　ＬｅａＬｅａ",,"ジャングルバー　レアレア","760-0029","高松市丸亀町９−２６","杉山ビル３階",,"梅田　大資","ウメダ　ダイスケ","飲食店営業","居酒屋・焼肉","第10107-3040952号","R04.09.07","R04.09.07","R09.11.30"
"株式会社きむら国分寺低温物流センター",,"キムラコクブンジテイオンブツリュウセンター","769-0103","高松市国分寺町福家甲１２５５−２０","株式会社デイリーフーズ内","087-813-5151  ","株式会社きむら","キムラ","食肉販売業","食肉販売","第21601-3040082号","R04.06.01","R04.06.01","R09.05.31"
"新鮮市場きむら","太田店","シンセンイチバキムラ　オオタテン","761-8074","高松市太田上町１０９０−１",,"087-868-5050  ","株式会社きむら","キムラ","飲食店営業","おかず","第10403-1211236号","H22.03.25","R02.06.01","R07.05.31"
"新鮮市場きむら","太田店","シンセンイチバキムラ　オオタテン","761-8074","高松市太田上町１０９０−１",,"087-868-5050  ","株式会社きむら","キムラ","魚介類販売業","魚介類","第20601-1211238号","H22.03.25","R02.06.01","R07.05.31"
"新鮮市場きむら","太田店","シンセンイチバキムラ　オオタテン","761-8074","高松市太田上町１０９０−１",,"087-868-5050  ","株式会社きむら","キムラ","食肉販売業","食肉販売","第21601-1211240号","H22.03.25","R02.06.01","R07.05.31"
"ムレあ",,"ムレア","761-0122","高松市牟礼町大町２３３７−６",,,"牟禮　泰史","ムレ　ヤスシ","魚介類販売業","魚介類","第20601-3040963号","R04.09.08","R04.09.08","R09.11.30"
"ロビーラウンジ",,"ロビーラウンジ","760-0008","高松市中野町２３−１",,"087-831-3330  ","ＫＡＮＥＭＩＴＳＵ　ＣＡＰＩＴＡＬ株式会社","カネミツキャピタルカブシキガイシャ","飲食店営業","喫茶","第10105-3040986号","R04.09.20","R04.09.20","R09.11.30"
"鉄板焼きダイニング　北門",,"テッパンヤキダイニング　キタモン","760-0008","高松市中野町２３−１",,"087-831-3330  ","ＫＡＮＥＭＩＴＳＵ　ＣＡＰＩＴＡＬ株式会社","カネミツキャピタルカブシキガイシャ","飲食店営業","一般","第10101-3040987号","R04.09.20","R04.09.20","R09.11.30"
"Ｇｉｒｌｓ　Ｂａｒ　Ｒｕｃｉｆｅｒ",,"ガールズ　バー　ルシファ","760-0052","高松市瓦町１丁目１１−１７","クイーンズスクエア第２ビル７階","              ","清原　大地","キヨハラ　ダイチ","飲食店営業","飲み屋","第10401-3040976号","R04.09.13","R04.09.13","R09.11.30"
"Ｂａｒ　Ａｊｉｓａｉ",,"バー　アジサイ","760-0045","高松市古馬場町８−４８","ＡＫビルⅧ２階南",,"村橋　凛紗","ムラハシ　リサ","飲食店営業","飲み屋","第10401-3041008号","R04.09.28","R04.09.28","R09.11.30"
"中華料理　楽楽",,"ラクラク","761-8081","高松市成合町８０５−１","２階","087-807-6864  ","楊　德秋","ヤンティチュ","飲食店営業","一般","第10101-3040957号","R04.09.08","R04.09.08","R09.11.30"
"ｆｉｋａ",,"フィーカ","760-0004","高松市西宝町１−５−３４",,,"西村　光市","ニシムラ　コウイチ","飲食店営業","喫茶","第10105-3040988号","R04.09.14","R04.09.14","R09.11.30"
"雅",,"ミヤビ","760-0028","高松市鍛冶屋町４−２０","ツーフィートビル２階","087-851-0918  ","横田　雅登","ヨコタ　マサト","飲食店営業","一般","第10101-0051583号","H13.02.28","R03.03.01","R08.02.28"
"どりむ家",,"ドリムヤ","        ","高松市一円",,"              ","森國　正一","モリクニ　ショウイチ","飲食店営業","露店：仮設","第10407-3040947号","R04.09.07","R04.09.07","R09.11.30"
"ＥＭＩＬＹ’Ｓ　ＳＨＯＰ",,"エミリーズショップ","        ","高松市一円",,"              ","株式会社ｎｆｒｏｓｔ","エヌフロスト","飲食店営業","車","第10410-3040954号","R04.09.07","R04.09.07","R09.11.30"
"堺８４１　たこやき　りゅうほうで酒",,"サカイ　タコヤキ　リュウホウデサケ","760-0080","高松市木太町１１３２−１９",,,"天野　やよい","アマノ　ヤヨイ","飲食店営業","その他","第10404-3040977号","R04.09.14","R04.09.14","R09.11.30"
"龍神丸　高松店",,"リュウジンマル　タカマツテン","761-8072","高松市三条町６０８−１","ゆめタウン高松１階","087-867-8311  ","株式会社ピアーサーティー中四国","ピアーサーティーチュウシコク","飲食店営業","一般","第10101-1280066号","H28.04.18","R03.06.01","R08.05.31"
